Date,Hours,NO
09/01/18,22-23,19887
09/01/18,23-00,19219
10/01/18,00-01,18459
10/01/18,01-02,18158
10/01/18,02-03,17982
10/01/18,03-04,17988
10/01/18,04-05,18168
10/01/18,05-06,18630
10/01/18,06-07,20169
10/01/18,07-08,21722
10/01/18,08-09,22129
10/01/18,09-10,22046
10/01/18,10-11,21929
10/01/18,11-12,21574
10/01/18,12-13,21387
10/01/18,13-14,21246
10/01/18,14-15,21269
10/01/18,15-16,21488
10/01/18,16-17,21774
10/01/18,17-18,21702
10/01/18,18-19,21419
10/01/18,19-20,21191
10/01/18,20-21,20772
10/01/18,21-22,20278
10/01/18,22-23,19551
10/01/18,23-00,18724
11/01/18,00-01,18046
11/01/18,01-02,17546
11/01/18,02-03,17258
11/01/18,03-04,17364
11/01/18,04-05,17457
11/01/18,05-06,17914
11/01/18,06-07,19153
11/01/18,07-08,20679
11/01/18,08-09,21336
11/01/18,09-10,21274
11/01/18,10-11,21155
11/01/18,11-12,21101
11/01/18,12-13,20902
11/01/18,13-14,20851
11/01/18,14-15,21002
11/01/18,15-16,21058
11/01/18,16-17,21320
11/01/18,17-18,21179
11/01/18,18-19,20967
11/01/18,19-20,20771
11/01/18,20-21,20491
11/01/18,21-22,20068
11/01/18,22-23,19313
11/01/18,23-00,18629
12/01/18,00-01,17898
12/01/18,01-02,17562
12/01/18,02-03,17440
12/01/18,03-04,17444
12/01/18,04-05,17424
12/01/18,05-06,17995
12/01/18,06-07,19382
12/01/18,07-08,21168
12/01/18,08-09,21628
12/01/18,09-10,21522
12/01/18,10-11,21435
12/01/18,11-12,21380
12/01/18,12-13,21081
12/01/18,13-14,20902
12/01/18,14-15,20871
12/01/18,15-16,20895
12/01/18,16-17,21070
12/01/18,17-18,21078
12/01/18,18-19,20975
12/01/18,19-20,20659
12/01/18,20-21,20033
12/01/18,21-22,19459
12/01/18,22-23,18958
12/01/18,23-00,18451
13/01/18,00-01,17910
13/01/18,01-02,17521
13/01/18,02-03,17222
13/01/18,03-04,17143
13/01/18,04-05,17033
13/01/18,05-06,17281
13/01/18,06-07,17678
13/01/18,07-08,18368
13/01/18,08-09,19020
13/01/18,09-10,19754
13/01/18,10-11,20228
13/01/18,11-12,20333
13/01/18,12-13,20296
13/01/18,13-14,20127
13/01/18,14-15,19995
13/01/18,15-16,20075
13/01/18,16-17,20477
13/01/18,17-18,20670
13/01/18,18-19,20552
13/01/18,19-20,20143
13/01/18,20-21,19568
13/01/18,21-22,19057
13/01/18,22-23,18623
13/01/18,23-00,18100
14/01/18,00-01,17620
14/01/18,01-02,17372
14/01/18,02-03,17205
14/01/18,03-04,17210
14/01/18,04-05,17176
14/01/18,05-06,17238
14/01/18,06-07,17444
14/01/18,07-08,17825
14/01/18,08-09,18310
14/01/18,09-10,18925
14/01/18,10-11,19415
14/01/18,11-12,19699
14/01/18,12-13,19746
14/01/18,13-14,19767
14/01/18,14-15,19955
14/01/18,15-16,20158
14/01/18,16-17,20420
14/01/18,17-18,20412
