Date,Hours,NO
01/04/18,09-10,17415
01/04/18,10-11,17175
01/04/18,11-12,16743
01/04/18,12-13,16441
01/04/18,13-14,16080
01/04/18,14-15,15930
01/04/18,15-16,15904
01/04/18,16-17,15929
01/04/18,17-18,16146
01/04/18,18-19,16446
01/04/18,19-20,17080
01/04/18,20-21,17142
01/04/18,21-22,16947
01/04/18,22-23,16806
01/04/18,23-00,16538
02/04/18,00-01,16343
02/04/18,01-02,16267
02/04/18,02-03,16293
02/04/18,03-04,16471
02/04/18,04-05,16812
02/04/18,05-06,17302
02/04/18,06-07,17797
02/04/18,07-08,18108
02/04/18,08-09,18298
02/04/18,09-10,18262
02/04/18,10-11,17986
02/04/18,11-12,17607
02/04/18,12-13,17300
02/04/18,13-14,17094
02/04/18,14-15,16874
02/04/18,15-16,16703
02/04/18,16-17,16702
02/04/18,17-18,16725
02/04/18,18-19,16993
02/04/18,19-20,17560
02/04/18,20-21,17610
02/04/18,21-22,17281
02/04/18,22-23,16948
02/04/18,23-00,16491
03/04/18,00-01,16365
03/04/18,01-02,16407
03/04/18,02-03,16461
03/04/18,03-04,16678
03/04/18,04-05,17140
03/04/18,05-06,18619
03/04/18,06-07,20165
03/04/18,07-08,20480
03/04/18,08-09,20267
03/04/18,09-10,20006
03/04/18,10-11,19531
03/04/18,11-12,19154
03/04/18,12-13,18864
03/04/18,13-14,18881
03/04/18,14-15,18787
03/04/18,15-16,18892
03/04/18,16-17,18953
03/04/18,17-18,18997
03/04/18,18-19,19019
03/04/18,19-20,19101
03/04/18,20-21,18913
03/04/18,21-22,18366
03/04/18,22-23,17640
03/04/18,23-00,17111
04/04/18,00-01,16602
04/04/18,01-02,16458
04/04/18,02-03,16380
04/04/18,03-04,16487
04/04/18,04-05,16898
04/04/18,05-06,18283
04/04/18,06-07,19571
04/04/18,07-08,19814
04/04/18,08-09,19780
04/04/18,09-10,19487
04/04/18,10-11,19151
04/04/18,11-12,18774
04/04/18,12-13,18623
04/04/18,13-14,18578
04/04/18,14-15,18455
04/04/18,15-16,18349
04/04/18,16-17,18149
04/04/18,17-18,18040
04/04/18,18-19,17995
04/04/18,19-20,18288
04/04/18,20-21,18075
04/04/18,21-22,17616
04/04/18,22-23,16818
04/04/18,23-00,16311
05/04/18,00-01,15932
05/04/18,01-02,15755
05/04/18,02-03,15675
05/04/18,03-04,15785
05/04/18,04-05,16283
05/04/18,05-06,17563
05/04/18,06-07,19120
05/04/18,07-08,19529
05/04/18,08-09,19402
05/04/18,09-10,19235
05/04/18,10-11,18752
05/04/18,11-12,18471
05/04/18,12-13,18438
05/04/18,13-14,18201
05/04/18,14-15,18109
05/04/18,15-16,18214
05/04/18,16-17,18035
05/04/18,17-18,17980
05/04/18,18-19,18000
05/04/18,19-20,18220
05/04/18,20-21,18251
05/04/18,21-22,17760
05/04/18,22-23,17081
05/04/18,23-00,16572
06/04/18,00-01,16227
06/04/18,01-02,16077
06/04/18,02-03,16011
06/04/18,03-04,15957
06/04/18,04-05,16376
06/04/18,05-06,17715
06/04/18,06-07,19011
06/04/18,07-08,19398
06/04/18,08-09,18884
06/04/18,09-10,18445
06/04/18,10-11,17977
06/04/18,11-12,17545
06/04/18,12-13,17272
06/04/18,13-14,16935
06/04/18,14-15,16698
06/04/18,15-16,16602
06/04/18,16-17,16341
06/04/18,17-18,16292
06/04/18,18-19,16264
06/04/18,19-20,16752
06/04/18,20-21,16824
06/04/18,21-22,16541
06/04/18,22-23,16202
06/04/18,23-00,15674
07/04/18,00-01,15461
07/04/18,01-02,15273
07/04/18,02-03,15282
07/04/18,03-04,15334
07/04/18,04-05,15380
07/04/18,05-06,15638
07/04/18,06-07,16132
07/04/18,07-08,16798
07/04/18,08-09,17208
07/04/18,09-10,17478
07/04/18,10-11,17376
07/04/18,11-12,17116
07/04/18,12-13,16959
07/04/18,13-14,16618
07/04/18,14-15,16477
07/04/18,15-16,16496
07/04/18,16-17,16653
07/04/18,17-18,16699
07/04/18,18-19,16637
07/04/18,19-20,16633
07/04/18,20-21,16513
07/04/18,21-22,16216
07/04/18,22-23,15795
07/04/18,23-00,15433
08/04/18,00-01,15111
08/04/18,01-02,14991
08/04/18,02-03,14972
08/04/18,03-04,15058
08/04/18,04-05,15181
08/04/18,05-06,15282
08/04/18,06-07,15496
08/04/18,07-08,15963
08/04/18,08-09,16313
08/04/18,09-10,16588
08/04/18,10-11,16680
08/04/18,11-12,16486
08/04/18,12-13,16427
08/04/18,13-14,16403
08/04/18,14-15,16463
08/04/18,15-16,16442
08/04/18,16-17,16405
08/04/18,17-18,16465
08/04/18,18-19,16614
08/04/18,19-20,16889
08/04/18,20-21,16833
08/04/18,21-22,16398
08/04/18,22-23,15769
08/04/18,23-00,15234
09/04/18,00-01,15009
09/04/18,01-02,14879
09/04/18,02-03,14903
09/04/18,03-04,15133
09/04/18,04-05,15776
09/04/18,05-06,16844
09/04/18,06-07,18205
09/04/18,07-08,18726
09/04/18,08-09,18535
09/04/18,09-10,18375
09/04/18,10-11,18283
09/04/18,11-12,18134
09/04/18,12-13,17893
09/04/18,13-14,17852
09/04/18,14-15,17748
09/04/18,15-16,17818
09/04/18,16-17,17648
09/04/18,17-18,17577
09/04/18,18-19,17583
09/04/18,19-20,17661
09/04/18,20-21,17561
09/04/18,21-22,17000
09/04/18,22-23,16094
09/04/18,23-00,15566
10/04/18,00-01,15348
10/04/18,01-02,15275
10/04/18,02-03,15230
10/04/18,03-04,15481
10/04/18,04-05,15855
10/04/18,05-06,17271
10/04/18,06-07,18721
10/04/18,07-08,18883
10/04/18,08-09,18391
10/04/18,09-10,17867
10/04/18,10-11,17473
10/04/18,11-12,17183
10/04/18,12-13,16839
10/04/18,13-14,16712
10/04/18,14-15,16686
10/04/18,15-16,16644
10/04/18,16-17,16476
10/04/18,17-18,16309
10/04/18,18-19,16378
10/04/18,19-20,16731
10/04/18,20-21,16883
10/04/18,21-22,16511
10/04/18,22-23,15798
10/04/18,23-00,15238
11/04/18,00-01,14954
11/04/18,01-02,14834
11/04/18,02-03,15018
11/04/18,03-04,15166
11/04/18,04-05,15639
11/04/18,05-06,16831
11/04/18,06-07,18306
11/04/18,07-08,18540
11/04/18,08-09,17875
11/04/18,09-10,17284
11/04/18,10-11,16882
11/04/18,11-12,16683
11/04/18,12-13,16383
11/04/18,13-14,16280
11/04/18,14-15,16213
11/04/18,15-16,16077
11/04/18,16-17,15905
11/04/18,17-18,15788
11/04/18,18-19,15870
11/04/18,19-20,16268
11/04/18,20-21,16655
11/04/18,21-22,16189
11/04/18,22-23,15591
11/04/18,23-00,15052
12/04/18,00-01,14878
12/04/18,01-02,14783
12/04/18,02-03,14853
12/04/18,03-04,15076
12/04/18,04-05,15565
12/04/18,05-06,16957
12/04/18,06-07,18182
12/04/18,07-08,18281
12/04/18,08-09,17615
12/04/18,09-10,16972
12/04/18,10-11,16528
12/04/18,11-12,16158
12/04/18,12-13,15983
12/04/18,13-14,15866
12/04/18,14-15,15802
12/04/18,15-16,15661
12/04/18,16-17,15454
12/04/18,17-18,15311
12/04/18,18-19,15378
12/04/18,19-20,15683
12/04/18,20-21,15813
12/04/18,21-22,15601
12/04/18,22-23,14879
12/04/18,23-00,14287
13/04/18,00-01,14144
13/04/18,01-02,14065
13/04/18,02-03,14128
13/04/18,03-04,14447
13/04/18,04-05,14717
13/04/18,05-06,15947
13/04/18,06-07,17346
13/04/18,07-08,17470
13/04/18,08-09,16987
13/04/18,09-10,16525
13/04/18,10-11,16153
13/04/18,11-12,15918
13/04/18,12-13,15758
13/04/18,13-14,15474
13/04/18,14-15,15164
13/04/18,15-16,15070
13/04/18,16-17,14907
13/04/18,17-18,14872
13/04/18,18-19,14936
13/04/18,19-20,14855
13/04/18,20-21,14927
13/04/18,21-22,14662
13/04/18,22-23,14144
13/04/18,23-00,13858
14/04/18,00-01,13633
14/04/18,01-02,13455
14/04/18,02-03,13469
14/04/18,03-04,13486
14/04/18,04-05,13565
14/04/18,05-06,13787
14/04/18,06-07,14203
14/04/18,07-08,14892
14/04/18,08-09,15313
14/04/18,09-10,15305
14/04/18,10-11,14936
14/04/18,11-12,14566
14/04/18,12-13,14206
14/04/18,13-14,13979
14/04/18,14-15,13856
14/04/18,15-16,13684
14/04/18,16-17,13796
14/04/18,17-18,13878
14/04/18,18-19,13922
14/04/18,19-20,13986
14/04/18,20-21,14070
14/04/18,21-22,13832
14/04/18,22-23,13432
14/04/18,23-00,13104
15/04/18,00-01,12806
15/04/18,01-02,12697
15/04/18,02-03,12777
15/04/18,03-04,12903
15/04/18,04-05,13006
15/04/18,05-06,13020
15/04/18,06-07,13529
15/04/18,07-08,13628
15/04/18,08-09,14012
15/04/18,09-10,14212
15/04/18,10-11,14013
15/04/18,11-12,13875
15/04/18,12-13,13726
15/04/18,13-14,13554
15/04/18,14-15,13470
15/04/18,15-16,13425
15/04/18,16-17,13490
15/04/18,17-18,13651
15/04/18,18-19,13840
15/04/18,19-20,14087
15/04/18,20-21,14224
15/04/18,21-22,13933
15/04/18,22-23,13414
15/04/18,23-00,12967
16/04/18,00-01,12775
16/04/18,01-02,12763
16/04/18,02-03,12845
16/04/18,03-04,12911
16/04/18,04-05,13381
16/04/18,05-06,14560
16/04/18,06-07,16342
16/04/18,07-08,16626
16/04/18,08-09,16338
16/04/18,09-10,16156
16/04/18,10-11,15854
16/04/18,11-12,15688
16/04/18,12-13,15525
16/04/18,13-14,15467
16/04/18,14-15,15423
16/04/18,15-16,15494
16/04/18,16-17,15537
16/04/18,17-18,15414
16/04/18,18-19,15417
16/04/18,19-20,15556
16/04/18,20-21,15332
16/04/18,21-22,14958
16/04/18,22-23,14160
16/04/18,23-00,13366
17/04/18,00-01,13154
17/04/18,01-02,12977
17/04/18,02-03,13051
17/04/18,03-04,13142
17/04/18,04-05,13510
17/04/18,05-06,14760
17/04/18,06-07,16154
17/04/18,07-08,16361
17/04/18,08-09,16202
17/04/18,09-10,15999
17/04/18,10-11,15780
17/04/18,11-12,15565
17/04/18,12-13,15233
17/04/18,13-14,15090
17/04/18,14-15,15147
17/04/18,15-16,15213
17/04/18,16-17,15146
17/04/18,17-18,15038
17/04/18,18-19,15136
17/04/18,19-20,15153
17/04/18,20-21,15242
17/04/18,21-22,14600
17/04/18,22-23,13774
17/04/18,23-00,13271
18/04/18,00-01,13063
18/04/18,01-02,12968
18/04/18,02-03,12995
18/04/18,03-04,13078
18/04/18,04-05,13331
18/04/18,05-06,14511
18/04/18,06-07,16177
18/04/18,07-08,16341
18/04/18,08-09,15949
18/04/18,09-10,15679
18/04/18,10-11,15336
18/04/18,11-12,15185
18/04/18,12-13,14919
18/04/18,13-14,14822
18/04/18,14-15,14742
18/04/18,15-16,14777
18/04/18,16-17,14628
18/04/18,17-18,14555
18/04/18,18-19,14561
18/04/18,19-20,14568
18/04/18,20-21,14746
18/04/18,21-22,14357
18/04/18,22-23,13549
18/04/18,23-00,12986
19/04/18,00-01,12632
19/04/18,01-02,12574
19/04/18,02-03,12673
19/04/18,03-04,12706
19/04/18,04-05,13196
19/04/18,05-06,14373
19/04/18,06-07,15822
19/04/18,07-08,16117
19/04/18,08-09,15793
19/04/18,09-10,15430
19/04/18,10-11,15137
19/04/18,11-12,14889
19/04/18,12-13,14647
19/04/18,13-14,14592
19/04/18,14-15,14497
19/04/18,15-16,14481
19/04/18,16-17,14274
19/04/18,17-18,14188
19/04/18,18-19,14396
19/04/18,19-20,14507
19/04/18,20-21,14518
19/04/18,21-22,13959
19/04/18,22-23,13192
19/04/18,23-00,12928
20/04/18,00-01,12640
20/04/18,01-02,12543
20/04/18,02-03,12526
20/04/18,03-04,12628
20/04/18,04-05,12944
20/04/18,05-06,14216
20/04/18,06-07,15830
20/04/18,07-08,15697
20/04/18,08-09,15675
20/04/18,09-10,15671
20/04/18,10-11,15447
20/04/18,11-12,15213
20/04/18,12-13,15070
20/04/18,13-14,14886
20/04/18,14-15,14569
20/04/18,15-16,14466
20/04/18,16-17,14540
20/04/18,17-18,14480
20/04/18,18-19,14458
20/04/18,19-20,14317
20/04/18,20-21,14321
20/04/18,21-22,13931
20/04/18,22-23,13519
20/04/18,23-00,13245
21/04/18,00-01,13039
21/04/18,01-02,12880
21/04/18,02-03,12692
21/04/18,03-04,12859
21/04/18,04-05,12870
21/04/18,05-06,13049
21/04/18,06-07,13467
21/04/18,07-08,14049
21/04/18,08-09,14438
21/04/18,09-10,14714
21/04/18,10-11,14566
21/04/18,11-12,14392
21/04/18,12-13,14197
21/04/18,13-14,13987
21/04/18,14-15,13813
21/04/18,15-16,13852
21/04/18,16-17,13951
21/04/18,17-18,14016
21/04/18,18-19,13975
21/04/18,19-20,14028
21/04/18,20-21,14132
21/04/18,21-22,13860
21/04/18,22-23,13555
21/04/18,23-00,13180
22/04/18,00-01,12926
22/04/18,01-02,12813
22/04/18,02-03,12838
22/04/18,03-04,12895
22/04/18,04-05,12953
22/04/18,05-06,13091
22/04/18,06-07,13440
22/04/18,07-08,13730
22/04/18,08-09,14098
22/04/18,09-10,14187
22/04/18,10-11,14197
22/04/18,11-12,14135
22/04/18,12-13,14071
22/04/18,13-14,13971
22/04/18,14-15,13977
22/04/18,15-16,14144
22/04/18,16-17,14192
22/04/18,17-18,14349
22/04/18,18-19,14391
22/04/18,19-20,14590
22/04/18,20-21,14624
22/04/18,21-22,14293
22/04/18,22-23,13740
22/04/18,23-00,13083
23/04/18,00-01,12780
23/04/18,01-02,12769
23/04/18,02-03,12912
23/04/18,03-04,12927
23/04/18,04-05,13246
23/04/18,05-06,14539
23/04/18,06-07,16003
23/04/18,07-08,16578
23/04/18,08-09,16192
23/04/18,09-10,16340
23/04/18,10-11,16256
23/04/18,11-12,16175
23/04/18,12-13,15843
23/04/18,13-14,15919
23/04/18,14-15,15795
23/04/18,15-16,15775
23/04/18,16-17,15569
23/04/18,17-18,15285
23/04/18,18-19,15479
23/04/18,19-20,15519
23/04/18,20-21,15477
23/04/18,21-22,15040
23/04/18,22-23,14289
23/04/18,23-00,13738
24/04/18,00-01,13307
24/04/18,01-02,13014
24/04/18,02-03,13055
24/04/18,03-04,13226
24/04/18,04-05,13736
24/04/18,05-06,14831
24/04/18,06-07,16122
24/04/18,07-08,16386
24/04/18,08-09,16418
24/04/18,09-10,16343
24/04/18,10-11,16081
24/04/18,11-12,15761
24/04/18,12-13,15793
24/04/18,13-14,15699
24/04/18,14-15,15730
24/04/18,15-16,15594
24/04/18,16-17,15314
24/04/18,17-18,15221
24/04/18,18-19,15296
24/04/18,19-20,15203
24/04/18,20-21,15308
24/04/18,21-22,15029
24/04/18,22-23,14309
24/04/18,23-00,13792
25/04/18,00-01,13367
25/04/18,01-02,13235
25/04/18,02-03,13328
25/04/18,03-04,13467
25/04/18,04-05,13889
25/04/18,05-06,15037
25/04/18,06-07,16427
25/04/18,07-08,16559
25/04/18,08-09,16290
25/04/18,09-10,16138
25/04/18,10-11,15773
25/04/18,11-12,15608
25/04/18,12-13,15465
25/04/18,13-14,15209
25/04/18,14-15,15200
25/04/18,15-16,15131
25/04/18,16-17,14908
25/04/18,17-18,14822
25/04/18,18-19,14868
25/04/18,19-20,15001
25/04/18,20-21,15219
25/04/18,21-22,14892
25/04/18,22-23,14237
25/04/18,23-00,13778
26/04/18,00-01,13500
26/04/18,01-02,13407
26/04/18,02-03,13504
26/04/18,03-04,13655
26/04/18,04-05,13983
26/04/18,05-06,15333
26/04/18,06-07,16581
26/04/18,07-08,16695
26/04/18,08-09,16356
26/04/18,09-10,15935
26/04/18,10-11,15633
26/04/18,11-12,15402
26/04/18,12-13,15224
26/04/18,13-14,15194
26/04/18,14-15,15220
26/04/18,15-16,15182
26/04/18,16-17,15085
26/04/18,17-18,15231
26/04/18,18-19,15026
26/04/18,19-20,14961
26/04/18,20-21,15267
26/04/18,21-22,14952
26/04/18,22-23,14316
26/04/18,23-00,13731
27/04/18,00-01,13415
27/04/18,01-02,13266
27/04/18,02-03,13334
27/04/18,03-04,13460
27/04/18,04-05,13765
27/04/18,05-06,14892
27/04/18,06-07,16337
27/04/18,07-08,16508
27/04/18,08-09,16468
27/04/18,09-10,16225
27/04/18,10-11,15807
27/04/18,11-12,15544
27/04/18,12-13,15371
27/04/18,13-14,15383
27/04/18,14-15,15247
27/04/18,15-16,15179
27/04/18,16-17,14998
27/04/18,17-18,14958
27/04/18,18-19,14888
27/04/18,19-20,14780
27/04/18,20-21,14802
27/04/18,21-22,14701
27/04/18,22-23,14163
27/04/18,23-00,13764
28/04/18,00-01,13283
28/04/18,01-02,13340
28/04/18,02-03,13298
28/04/18,03-04,13376
28/04/18,04-05,13329
28/04/18,05-06,13543
28/04/18,06-07,14047
28/04/18,07-08,14615
28/04/18,08-09,15137
28/04/18,09-10,15368
28/04/18,10-11,15207
28/04/18,11-12,14895
28/04/18,12-13,14620
28/04/18,13-14,14406
28/04/18,14-15,14306
28/04/18,15-16,14283
28/04/18,16-17,14261
28/04/18,17-18,14404
28/04/18,18-19,14397
28/04/18,19-20,14349
28/04/18,20-21,14389
28/04/18,21-22,14416
28/04/18,22-23,14107
28/04/18,23-00,13778
29/04/18,00-01,13495
29/04/18,01-02,13450
29/04/18,02-03,13423
29/04/18,03-04,13456
29/04/18,04-05,13446
29/04/18,05-06,13509
29/04/18,06-07,13741
29/04/18,07-08,13984
29/04/18,08-09,14270
29/04/18,09-10,14446
29/04/18,10-11,14337
29/04/18,11-12,14198
29/04/18,12-13,14046
29/04/18,13-14,13925
29/04/18,14-15,13946
29/04/18,15-16,13823
29/04/18,16-17,13917
29/04/18,17-18,13931
29/04/18,18-19,14038
29/04/18,19-20,14218
29/04/18,20-21,14436
29/04/18,21-22,14451
29/04/18,22-23,14005
29/04/18,23-00,13658
30/04/18,00-01,13447
30/04/18,01-02,13320
30/04/18,02-03,13275
30/04/18,03-04,13402
30/04/18,04-05,13794
30/04/18,05-06,14755
30/04/18,06-07,15971
30/04/18,07-08,16255
30/04/18,08-09,15845
30/04/18,09-10,15577
30/04/18,10-11,15321
30/04/18,11-12,15220
30/04/18,12-13,15021
30/04/18,13-14,15030
30/04/18,14-15,15069
30/04/18,15-16,15080
30/04/18,16-17,14906
30/04/18,17-18,14840
30/04/18,18-19,14752
30/04/18,19-20,14759
30/04/18,20-21,14815
30/04/18,21-22,14388
30/04/18,22-23,14002
30/04/18,23-00,13642
01/05/18,00-01,13303
01/05/18,01-02,13075
01/05/18,02-03,13070
01/05/18,03-04,13208
01/05/18,04-05,13355
01/05/18,05-06,13796
01/05/18,06-07,14304
01/05/18,07-08,14794
01/05/18,08-09,15471
01/05/18,09-10,15826
01/05/18,10-11,15902
01/05/18,11-12,15816
01/05/18,12-13,15626
01/05/18,13-14,15492
01/05/18,14-15,15424
01/05/18,15-16,15374
01/05/18,16-17,15328
01/05/18,17-18,15314
01/05/18,18-19,15185
01/05/18,19-20,15187
01/05/18,20-21,15131
01/05/18,21-22,14841
01/05/18,22-23,14247
01/05/18,23-00,13636
02/05/18,00-01,13369
02/05/18,01-02,13214
02/05/18,02-03,13281
02/05/18,03-04,13343
02/05/18,04-05,13582
02/05/18,05-06,14841
02/05/18,06-07,16099
02/05/18,07-08,16403
02/05/18,08-09,16133
02/05/18,09-10,15965
02/05/18,10-11,15672
02/05/18,11-12,15332
02/05/18,12-13,15098
02/05/18,13-14,15115
02/05/18,14-15,15192
02/05/18,15-16,15031
02/05/18,16-17,14788
02/05/18,17-18,14696
02/05/18,18-19,14600
02/05/18,19-20,14827
02/05/18,20-21,14912
02/05/18,21-22,14639
02/05/18,22-23,13949
02/05/18,23-00,13410
03/05/18,00-01,13128
03/05/18,01-02,12954
03/05/18,02-03,12879
03/05/18,03-04,13045
03/05/18,04-05,13338
03/05/18,05-06,14289
03/05/18,06-07,15585
03/05/18,07-08,15958
03/05/18,08-09,15780
03/05/18,09-10,15667
03/05/18,10-11,15307
03/05/18,11-12,15301
03/05/18,12-13,15596
03/05/18,13-14,15478
03/05/18,14-15,15449
03/05/18,15-16,15381
03/05/18,16-17,15188
03/05/18,17-18,15160
03/05/18,18-19,14970
03/05/18,19-20,14885
03/05/18,20-21,14985
03/05/18,21-22,14887
03/05/18,22-23,14223
03/05/18,23-00,13740
04/05/18,00-01,13523
04/05/18,01-02,13334
04/05/18,02-03,13410
04/05/18,03-04,13520
04/05/18,04-05,13782
04/05/18,05-06,15019
04/05/18,06-07,16361
04/05/18,07-08,16757
04/05/18,08-09,16457
04/05/18,09-10,16232
04/05/18,10-11,15924
04/05/18,11-12,15475
04/05/18,12-13,15209
04/05/18,13-14,15015
04/05/18,14-15,14873
04/05/18,15-16,14887
04/05/18,16-17,14782
04/05/18,17-18,14731
04/05/18,18-19,14575
04/05/18,19-20,14541
04/05/18,20-21,14370
04/05/18,21-22,14486
04/05/18,22-23,13707
04/05/18,23-00,13382
05/05/18,00-01,12858
05/05/18,01-02,12677
05/05/18,02-03,12620
05/05/18,03-04,12658
05/05/18,04-05,12500
05/05/18,05-06,12702
05/05/18,06-07,13066
05/05/18,07-08,13739
05/05/18,08-09,14110
05/05/18,09-10,14282
05/05/18,10-11,13936
05/05/18,11-12,13647
05/05/18,12-13,13523
05/05/18,13-14,13448
05/05/18,14-15,13230
05/05/18,15-16,13063
05/05/18,16-17,13449
05/05/18,17-18,13495
05/05/18,18-19,13524
05/05/18,19-20,13262
05/05/18,20-21,13215
05/05/18,21-22,13034
05/05/18,22-23,12704
05/05/18,23-00,12317
06/05/18,00-01,12019
06/05/18,01-02,11932
06/05/18,02-03,11856
06/05/18,03-04,11816
06/05/18,04-05,11707
06/05/18,05-06,11846
06/05/18,06-07,12101
06/05/18,07-08,12548
06/05/18,08-09,12953
06/05/18,09-10,13157
06/05/18,10-11,13130
06/05/18,11-12,13154
06/05/18,12-13,13105
06/05/18,13-14,12868
06/05/18,14-15,12968
06/05/18,15-16,12838
06/05/18,16-17,13026
06/05/18,17-18,13177
06/05/18,18-19,13102
06/05/18,19-20,13091
06/05/18,20-21,13073
06/05/18,21-22,13130
06/05/18,22-23,12699
06/05/18,23-00,12317
07/05/18,00-01,12026
07/05/18,01-02,11944
07/05/18,02-03,12094
07/05/18,03-04,12207
07/05/18,04-05,12290
07/05/18,05-06,13731
07/05/18,06-07,15134
07/05/18,07-08,15270
07/05/18,08-09,14939
07/05/18,09-10,14676
07/05/18,10-11,14547
07/05/18,11-12,14513
07/05/18,12-13,14346
07/05/18,13-14,14258
07/05/18,14-15,14046
07/05/18,15-16,14176
07/05/18,16-17,14140
07/05/18,17-18,13866
07/05/18,18-19,13857
07/05/18,19-20,13872
07/05/18,20-21,13881
07/05/18,21-22,13660
07/05/18,22-23,12936
07/05/18,23-00,12611
08/05/18,00-01,12290
08/05/18,01-02,12228
08/05/18,02-03,12219
08/05/18,03-04,12132
08/05/18,04-05,12319
08/05/18,05-06,13328
08/05/18,06-07,14830
08/05/18,07-08,14893
08/05/18,08-09,14531
08/05/18,09-10,14606
08/05/18,10-11,14357
08/05/18,11-12,14071
08/05/18,12-13,13899
08/05/18,13-14,13745
08/05/18,14-15,13499
08/05/18,15-16,13699
08/05/18,16-17,13428
08/05/18,17-18,13421
08/05/18,18-19,13555
08/05/18,19-20,13576
08/05/18,20-21,13569
08/05/18,21-22,13490
08/05/18,22-23,12894
08/05/18,23-00,12142
09/05/18,00-01,11816
09/05/18,01-02,11592
09/05/18,02-03,11601
09/05/18,03-04,11538
09/05/18,04-05,11774
09/05/18,05-06,12849
09/05/18,06-07,13995
09/05/18,07-08,14118
09/05/18,08-09,13912
09/05/18,09-10,13912
09/05/18,10-11,13701
09/05/18,11-12,13586
09/05/18,12-13,13693
09/05/18,13-14,13480
09/05/18,14-15,13212
09/05/18,15-16,13116
09/05/18,16-17,12896
09/05/18,17-18,12726
09/05/18,18-19,12845
09/05/18,19-20,12614
09/05/18,20-21,12652
09/05/18,21-22,12620
09/05/18,22-23,12179
09/05/18,23-00,11599
10/05/18,00-01,11299
10/05/18,01-02,11188
10/05/18,02-03,11095
10/05/18,03-04,11177
10/05/18,04-05,11161
10/05/18,05-06,11343
10/05/18,06-07,11678
10/05/18,07-08,12161
10/05/18,08-09,12795
10/05/18,09-10,12997
10/05/18,10-11,12941
10/05/18,11-12,12943
10/05/18,12-13,12774
10/05/18,13-14,12742
10/05/18,14-15,12815
10/05/18,15-16,12876
10/05/18,16-17,12806
10/05/18,17-18,12778
10/05/18,18-19,12896
10/05/18,19-20,12821
10/05/18,20-21,12680
10/05/18,21-22,12723
10/05/18,22-23,12263
10/05/18,23-00,11749
11/05/18,00-01,11388
11/05/18,01-02,11231
11/05/18,02-03,11256
11/05/18,03-04,11322
11/05/18,04-05,11523
11/05/18,05-06,12400
11/05/18,06-07,13311
11/05/18,07-08,14113
11/05/18,08-09,14464
11/05/18,09-10,14435
11/05/18,10-11,14203
11/05/18,11-12,13945
11/05/18,12-13,13828
11/05/18,13-14,13678
11/05/18,14-15,13413
11/05/18,15-16,13326
11/05/18,16-17,13188
11/05/18,17-18,13212
11/05/18,18-19,13212
11/05/18,19-20,13153
11/05/18,20-21,13021
11/05/18,21-22,12896
11/05/18,22-23,12571
11/05/18,23-00,12038
12/05/18,00-01,11717
12/05/18,01-02,11534
12/05/18,02-03,11448
12/05/18,03-04,11451
12/05/18,04-05,11363
12/05/18,05-06,11452
12/05/18,06-07,11893
12/05/18,07-08,12423
12/05/18,08-09,12940
12/05/18,09-10,13185
12/05/18,10-11,13029
12/05/18,11-12,12928
12/05/18,12-13,12689
12/05/18,13-14,12491
12/05/18,14-15,12325
12/05/18,15-16,12242
12/05/18,16-17,12462
12/05/18,17-18,12763
12/05/18,18-19,12656
12/05/18,19-20,12564
12/05/18,20-21,12410
12/05/18,21-22,12367
12/05/18,22-23,12054
12/05/18,23-00,11744
13/05/18,00-01,11600
13/05/18,01-02,11377
13/05/18,02-03,11298
13/05/18,03-04,11222
13/05/18,04-05,11056
13/05/18,05-06,11091
13/05/18,06-07,11357
13/05/18,07-08,11735
13/05/18,08-09,12175
13/05/18,09-10,12385
13/05/18,10-11,12433
13/05/18,11-12,12373
13/05/18,12-13,12266
13/05/18,13-14,12132
13/05/18,14-15,12114
13/05/18,15-16,12124
13/05/18,16-17,12111
13/05/18,17-18,12179
13/05/18,18-19,12294
13/05/18,19-20,12546
13/05/18,20-21,12504
13/05/18,21-22,12530
13/05/18,22-23,11979
13/05/18,23-00,11445
14/05/18,00-01,11188
14/05/18,01-02,10916
14/05/18,02-03,10837
14/05/18,03-04,10800
14/05/18,04-05,11121
14/05/18,05-06,12460
14/05/18,06-07,13587
14/05/18,07-08,13945
14/05/18,08-09,13659
14/05/18,09-10,13670
14/05/18,10-11,13617
14/05/18,11-12,13577
14/05/18,12-13,13472
14/05/18,13-14,13303
14/05/18,14-15,13223
14/05/18,15-16,13516
14/05/18,16-17,13122
14/05/18,17-18,13019
14/05/18,18-19,13025
14/05/18,19-20,12890
14/05/18,20-21,12987
14/05/18,21-22,12836
14/05/18,22-23,12121
14/05/18,23-00,11676
15/05/18,00-01,11268
15/05/18,01-02,11059
15/05/18,02-03,11051
15/05/18,03-04,10952
15/05/18,04-05,11241
15/05/18,05-06,12489
15/05/18,06-07,13529
15/05/18,07-08,13587
15/05/18,08-09,13550
15/05/18,09-10,13474
15/05/18,10-11,13280
15/05/18,11-12,13473
15/05/18,12-13,13448
15/05/18,13-14,13319
15/05/18,14-15,13111
15/05/18,15-16,13101
15/05/18,16-17,12961
15/05/18,17-18,12749
15/05/18,18-19,12773
15/05/18,19-20,12752
15/05/18,20-21,12707
15/05/18,21-22,12670
15/05/18,22-23,12172
15/05/18,23-00,11549
16/05/18,00-01,11196
16/05/18,01-02,10936
16/05/18,02-03,10837
16/05/18,03-04,10669
16/05/18,04-05,10697
