Date,Hours,NO
01/01/19,00-01,15724
01/01/19,01-02,15623
01/01/19,02-03,15705
01/01/19,03-04,15643
01/01/19,04-05,15612
01/01/19,05-06,15728
01/01/19,06-07,16041
01/01/19,07-08,16325
01/01/19,08-09,16655
01/01/19,09-10,16935
01/01/19,10-11,17369
01/01/19,11-12,17611
01/01/19,12-13,17737
01/01/19,13-14,17689
01/01/19,14-15,18082
01/01/19,15-16,18480
01/01/19,16-17,18653
01/01/19,17-18,18629
01/01/19,18-19,18492
01/01/19,19-20,18192
01/01/19,20-21,18035
01/01/19,21-22,17631
01/01/19,22-23,17236
01/01/19,23-00,16737
02/01/19,00-01,16373
02/01/19,01-02,16129
02/01/19,02-03,16015
02/01/19,03-04,16148
02/01/19,04-05,16316
02/01/19,05-06,16812
02/01/19,06-07,18058
02/01/19,07-08,19556
02/01/19,08-09,20443
02/01/19,09-10,20272
02/01/19,10-11,20196
02/01/19,11-12,19972
02/01/19,12-13,19840
02/01/19,13-14,19778
02/01/19,14-15,20075
02/01/19,15-16,20722
02/01/19,16-17,20990
02/01/19,17-18,20787
02/01/19,18-19,20452
02/01/19,19-20,20272
02/01/19,20-21,19873
02/01/19,21-22,19402
02/01/19,22-23,18744
02/01/19,23-00,17694
03/01/19,00-01,17311
03/01/19,01-02,16976
03/01/19,02-03,16762
03/01/19,03-04,16783
03/01/19,04-05,17035
03/01/19,05-06,17540
03/01/19,06-07,18873
03/01/19,07-08,20395
03/01/19,08-09,20638
03/01/19,09-10,20548
03/01/19,10-11,20457
03/01/19,11-12,20413
03/01/19,12-13,20238
03/01/19,13-14,20074
03/01/19,14-15,20073
03/01/19,15-16,20057
03/01/19,16-17,20304
03/01/19,17-18,20226
03/01/19,18-19,20019
03/01/19,19-20,19717
03/01/19,20-21,19286
03/01/19,21-22,18790
03/01/19,22-23,18179
03/01/19,23-00,17297
04/01/19,00-01,16874
04/01/19,01-02,16338
04/01/19,02-03,16199
04/01/19,03-04,16162
04/01/19,04-05,16258
04/01/19,05-06,16753
04/01/19,06-07,18154
04/01/19,07-08,19408
04/01/19,08-09,19856
04/01/19,09-10,19524
04/01/19,10-11,19327
04/01/19,11-12,19124
04/01/19,12-13,18965
04/01/19,13-14,18639
