Date,Hours,NO
04/01/19,14-15,18493
04/01/19,15-16,18806
04/01/19,16-17,18600
04/01/19,17-18,18427
04/01/19,18-19,18472
04/01/19,19-20,18151
04/01/19,20-21,17602
04/01/19,21-22,16991
04/01/19,22-23,16629
04/01/19,23-00,15921
05/01/19,00-01,15598
05/01/19,01-02,15219
05/01/19,02-03,14959
05/01/19,03-04,14860
05/01/19,04-05,14929
05/01/19,05-06,15157
05/01/19,06-07,15487
05/01/19,07-08,15873
05/01/19,08-09,16632
05/01/19,09-10,17165
05/01/19,10-11,17360
05/01/19,11-12,17789
05/01/19,12-13,17800
05/01/19,13-14,17496
05/01/19,14-15,17409
05/01/19,15-16,17752
05/01/19,16-17,18254
05/01/19,17-18,18429
05/01/19,18-19,18383
05/01/19,19-20,17812
05/01/19,20-21,17361
05/01/19,21-22,16911
05/01/19,22-23,16407
05/01/19,23-00,16174
06/01/19,00-01,15714
06/01/19,01-02,15553
06/01/19,02-03,15289
06/01/19,03-04,15154
06/01/19,04-05,15152
06/01/19,05-06,15370
06/01/19,06-07,15549
06/01/19,07-08,15784
06/01/19,08-09,16301
06/01/19,09-10,16916
06/01/19,10-11,17176
06/01/19,11-12,17499
06/01/19,12-13,17383
06/01/19,13-14,17500
06/01/19,14-15,17540
06/01/19,15-16,17835
06/01/19,16-17,18248
06/01/19,17-18,18104
06/01/19,18-19,18015
06/01/19,19-20,18112
06/01/19,20-21,17890
06/01/19,21-22,17514
06/01/19,22-23,16902
06/01/19,23-00,16311
07/01/19,00-01,16114
07/01/19,01-02,15987
07/01/19,02-03,15539
07/01/19,03-04,15769
07/01/19,04-05,16044
07/01/19,05-06,16870
07/01/19,06-07,18059
07/01/19,07-08,19806
07/01/19,08-09,20265
07/01/19,09-10,20220
07/01/19,10-11,20039
07/01/19,11-12,20007
07/01/19,12-13,20050
07/01/19,13-14,20089
07/01/19,14-15,20158
07/01/19,15-16,20272
07/01/19,16-17,20413
07/01/19,17-18,20364
07/01/19,18-19,19904
07/01/19,19-20,19559
07/01/19,20-21,19139
07/01/19,21-22,18605
07/01/19,22-23,18141
07/01/19,23-00,17598
08/01/19,00-01,16895
08/01/19,01-02,16476
08/01/19,02-03,16256
08/01/19,03-04,16306
08/01/19,04-05,16560
08/01/19,05-06,16875
08/01/19,06-07,18303
08/01/19,07-08,19795
08/01/19,08-09,20713
08/01/19,09-10,20416
08/01/19,10-11,20276
08/01/19,11-12,20041
08/01/19,12-13,19468
08/01/19,13-14,19749
08/01/19,14-15,19892
08/01/19,15-16,19598
08/01/19,16-17,20289
08/01/19,17-18,20282
08/01/19,18-19,19785
08/01/19,19-20,19617
08/01/19,20-21,19392
08/01/19,21-22,19073
08/01/19,22-23,18328
08/01/19,23-00,17503
09/01/19,00-01,17088
09/01/19,01-02,16690
09/01/19,02-03,16602
09/01/19,03-04,16278
09/01/19,04-05,16570
09/01/19,05-06,17115
09/01/19,06-07,18571
09/01/19,07-08,20173
09/01/19,08-09,20533
09/01/19,09-10,20415
09/01/19,10-11,20189
09/01/19,11-12,19804
09/01/19,12-13,19645
09/01/19,13-14,19678
09/01/19,14-15,19809
09/01/19,15-16,20148
09/01/19,16-17,20646
09/01/19,17-18,20507
09/01/19,18-19,20186
09/01/19,19-20,19835
09/01/19,20-21,19592
09/01/19,21-22,19431
09/01/19,22-23,18710
09/01/19,23-00,17961
10/01/19,00-01,17446
10/01/19,01-02,17138
10/01/19,02-03,16957
10/01/19,03-04,16959
10/01/19,04-05,17106
10/01/19,05-06,17381
10/01/19,06-07,18763
10/01/19,07-08,20280
10/01/19,08-09,20616
10/01/19,09-10,20402
10/01/19,10-11,20324
10/01/19,11-12,20244
10/01/19,12-13,20016
10/01/19,13-14,19901
10/01/19,14-15,19841
10/01/19,15-16,19876
10/01/19,16-17,20225
10/01/19,17-18,20175
10/01/19,18-19,19839
10/01/19,19-20,19498
10/01/19,20-21,19021
10/01/19,21-22,18556
10/01/19,22-23,17768
10/01/19,23-00,16873
11/01/19,00-01,16479
11/01/19,01-02,16061
11/01/19,02-03,15895
11/01/19,03-04,15868
11/01/19,04-05,16040
11/01/19,05-06,16510
11/01/19,06-07,18077
11/01/19,07-08,19684
11/01/19,08-09,20340
11/01/19,09-10,20083
11/01/19,10-11,20365
11/01/19,11-12,19939
11/01/19,12-13,19791
11/01/19,13-14,19159
11/01/19,14-15,19367
11/01/19,15-16,19499
11/01/19,16-17,19955
11/01/19,17-18,20030
11/01/19,18-19,19789
11/01/19,19-20,19612
11/01/19,20-21,19056
11/01/19,21-22,18559
11/01/19,22-23,17775
11/01/19,23-00,17534
12/01/19,00-01,17037
12/01/19,01-02,16796
12/01/19,02-03,16528
12/01/19,03-04,16540
12/01/19,04-05,16618
12/01/19,05-06,16866
12/01/19,06-07,17225
12/01/19,07-08,17802
12/01/19,08-09,18526
12/01/19,09-10,19240
12/01/19,10-11,19567
12/01/19,11-12,19652
12/01/19,12-13,19436
12/01/19,13-14,19174
12/01/19,14-15,19038
12/01/19,15-16,19191
12/01/19,16-17,19616
12/01/19,17-18,19811
12/01/19,18-19,19613
12/01/19,19-20,19437
12/01/19,20-21,18977
12/01/19,21-22,18491
12/01/19,22-23,18000
12/01/19,23-00,17590
13/01/19,00-01,17204
13/01/19,01-02,16922
13/01/19,02-03,16639
13/01/19,03-04,16525
13/01/19,04-05,16607
13/01/19,05-06,16760
13/01/19,06-07,17129
13/01/19,07-08,17096
13/01/19,08-09,17436
13/01/19,09-10,17883
13/01/19,10-11,18535
13/01/19,11-12,19001
13/01/19,12-13,18923
13/01/19,13-14,18734
13/01/19,14-15,18818
13/01/19,15-16,19074
13/01/19,16-17,19588
13/01/19,17-18,19767
13/01/19,18-19,19430
13/01/19,19-20,19431
13/01/19,20-21,19120
13/01/19,21-22,19014
13/01/19,22-23,18854
13/01/19,23-00,18270
14/01/19,00-01,17775
14/01/19,01-02,17681
14/01/19,02-03,17576
14/01/19,03-04,17522
14/01/19,04-05,17601
14/01/19,05-06,18045
14/01/19,06-07,19816
14/01/19,07-08,21603
14/01/19,08-09,22057
14/01/19,09-10,21814
14/01/19,10-11,21693
14/01/19,11-12,21396
14/01/19,12-13,21131
14/01/19,13-14,20742
14/01/19,14-15,20649
14/01/19,15-16,20800
14/01/19,16-17,21369
14/01/19,17-18,21362
14/01/19,18-19,21172
14/01/19,19-20,20896
14/01/19,20-21,20544
14/01/19,21-22,19990
14/01/19,22-23,19558
14/01/19,23-00,18710
15/01/19,00-01,18235
15/01/19,01-02,17751
15/01/19,02-03,17619
15/01/19,03-04,17522
15/01/19,04-05,17795
15/01/19,05-06,18528
15/01/19,06-07,20064
15/01/19,07-08,21537
15/01/19,08-09,21873
15/01/19,09-10,21413
15/01/19,10-11,21270
15/01/19,11-12,21246
15/01/19,12-13,20950
15/01/19,13-14,20827
15/01/19,14-15,20822
15/01/19,15-16,21091
15/01/19,16-17,21422
15/01/19,17-18,21343
15/01/19,18-19,21194
15/01/19,19-20,20978
15/01/19,20-21,20699
15/01/19,21-22,20408
15/01/19,22-23,19828
15/01/19,23-00,18893
16/01/19,00-01,18477
16/01/19,01-02,18171
16/01/19,02-03,17890
16/01/19,03-04,17786
16/01/19,04-05,17913
16/01/19,05-06,18266
16/01/19,06-07,19771
16/01/19,07-08,21589
16/01/19,08-09,21848
16/01/19,09-10,21497
16/01/19,10-11,21401
16/01/19,11-12,21189
16/01/19,12-13,21078
16/01/19,13-14,20953
16/01/19,14-15,20978
16/01/19,15-16,21269
16/01/19,16-17,21644
16/01/19,17-18,21434
16/01/19,18-19,21065
16/01/19,19-20,21048
16/01/19,20-21,20864
16/01/19,21-22,20523
16/01/19,22-23,19816
16/01/19,23-00,19083
17/01/19,00-01,18770
17/01/19,01-02,18417
17/01/19,02-03,18257
17/01/19,03-04,18224
17/01/19,04-05,18501
17/01/19,05-06,19118
17/01/19,06-07,20525
17/01/19,07-08,22095
17/01/19,08-09,22087
17/01/19,09-10,21686
17/01/19,10-11,21994
17/01/19,11-12,21877
17/01/19,12-13,21578
17/01/19,13-14,21413
17/01/19,14-15,21417
17/01/19,15-16,21599
17/01/19,16-17,22172
17/01/19,17-18,22250
17/01/19,18-19,22225
17/01/19,19-20,22020
17/01/19,20-21,21627
17/01/19,21-22,21128
17/01/19,22-23,20438
17/01/19,23-00,19711
18/01/19,00-01,19039
18/01/19,01-02,18724
18/01/19,02-03,18660
18/01/19,03-04,18569
18/01/19,04-05,18882
18/01/19,05-06,19576
18/01/19,06-07,20639
18/01/19,07-08,22447
18/01/19,08-09,22877
18/01/19,09-10,22471
18/01/19,10-11,22539
18/01/19,11-12,22263
18/01/19,12-13,21838
18/01/19,13-14,21483
18/01/19,14-15,21521
18/01/19,15-16,21745
18/01/19,16-17,21918
18/01/19,17-18,22073
18/01/19,18-19,21764
18/01/19,19-20,21230
18/01/19,20-21,20513
18/01/19,21-22,20051
18/01/19,22-23,19494
18/01/19,23-00,18952
19/01/19,00-01,18371
19/01/19,01-02,17950
19/01/19,02-03,18010
19/01/19,03-04,17795
19/01/19,04-05,17774
19/01/19,05-06,17869
19/01/19,06-07,18246
19/01/19,07-08,19027
19/01/19,08-09,19479
19/01/19,09-10,20125
19/01/19,10-11,20645
19/01/19,11-12,20493
19/01/19,12-13,20125
19/01/19,13-14,19979
19/01/19,14-15,19974
19/01/19,15-16,20139
19/01/19,16-17,20607
19/01/19,17-18,20985
19/01/19,18-19,20828
19/01/19,19-20,20427
19/01/19,20-21,19916
19/01/19,21-22,19411
19/01/19,22-23,18972
19/01/19,23-00,18722
20/01/19,00-01,18269
20/01/19,01-02,17901
20/01/19,02-03,17731
20/01/19,03-04,17832
20/01/19,04-05,17825
20/01/19,05-06,17967
20/01/19,06-07,18275
20/01/19,07-08,18783
20/01/19,08-09,19357
20/01/19,09-10,20128
20/01/19,10-11,20387
20/01/19,11-12,20354
20/01/19,12-13,20119
20/01/19,13-14,20014
20/01/19,14-15,20092
20/01/19,15-16,20356
20/01/19,16-17,21025
20/01/19,17-18,21106
20/01/19,18-19,21070
20/01/19,19-20,20945
20/01/19,20-21,20708
20/01/19,21-22,20191
20/01/19,22-23,19489
20/01/19,23-00,18921
21/01/19,00-01,18467
21/01/19,01-02,18047
21/01/19,02-03,17964
21/01/19,03-04,18235
21/01/19,04-05,18208
21/01/19,05-06,18881
21/01/19,06-07,20372
21/01/19,07-08,22024
21/01/19,08-09,22405
21/01/19,09-10,22372
21/01/19,10-11,22246
21/01/19,11-12,21765
21/01/19,12-13,21499
21/01/19,13-14,21549
21/01/19,14-15,21709
21/01/19,15-16,21834
21/01/19,16-17,22088
21/01/19,17-18,22216
21/01/19,18-19,22043
21/01/19,19-20,21891
21/01/19,20-21,21523
21/01/19,21-22,21201
21/01/19,22-23,20441
21/01/19,23-00,19548
22/01/19,00-01,19111
22/01/19,01-02,18670
22/01/19,02-03,18549
22/01/19,03-04,18460
22/01/19,04-05,18557
22/01/19,05-06,19054
22/01/19,06-07,20455
22/01/19,07-08,22199
22/01/19,08-09,22613
22/01/19,09-10,22381
22/01/19,10-11,22311
22/01/19,11-12,22078
22/01/19,12-13,22135
22/01/19,13-14,22180
22/01/19,14-15,22178
22/01/19,15-16,22301
22/01/19,16-17,22757
22/01/19,17-18,22448
22/01/19,18-19,21999
22/01/19,19-20,21764
22/01/19,20-21,21450
22/01/19,21-22,20928
22/01/19,22-23,20279
22/01/19,23-00,19398
23/01/19,00-01,18749
23/01/19,01-02,18094
23/01/19,02-03,17882
23/01/19,03-04,17999
23/01/19,04-05,18145
23/01/19,05-06,18876
23/01/19,06-07,20293
23/01/19,07-08,21849
23/01/19,08-09,22252
23/01/19,09-10,21983
23/01/19,10-11,21698
23/01/19,11-12,21761
23/01/19,12-13,21581
23/01/19,13-14,21581
23/01/19,14-15,21620
23/01/19,15-16,21553
23/01/19,16-17,21916
23/01/19,17-18,21888
23/01/19,18-19,21527
23/01/19,19-20,21224
23/01/19,20-21,21176
23/01/19,21-22,20793
23/01/19,22-23,20093
23/01/19,23-00,19093
24/01/19,00-01,18539
24/01/19,01-02,18211
24/01/19,02-03,17793
24/01/19,03-04,17748
24/01/19,04-05,17926
24/01/19,05-06,18623
24/01/19,06-07,20003
24/01/19,07-08,21702
24/01/19,08-09,22215
24/01/19,09-10,21982
24/01/19,10-11,21897
24/01/19,11-12,21672
24/01/19,12-13,21467
24/01/19,13-14,21388
24/01/19,14-15,21522
24/01/19,15-16,21595
24/01/19,16-17,21848
24/01/19,17-18,21822
24/01/19,18-19,21532
24/01/19,19-20,21229
24/01/19,20-21,21009
24/01/19,21-22,20586
24/01/19,22-23,19902
24/01/19,23-00,19053
25/01/19,00-01,18417
25/01/19,01-02,18018
25/01/19,02-03,17833
25/01/19,03-04,17768
25/01/19,04-05,17932
25/01/19,05-06,18571
25/01/19,06-07,19882
25/01/19,07-08,21490
25/01/19,08-09,22002
25/01/19,09-10,21794
25/01/19,10-11,21967
25/01/19,11-12,21734
25/01/19,12-13,21440
25/01/19,13-14,21527
25/01/19,14-15,21592
25/01/19,15-16,21583
25/01/19,16-17,21806
25/01/19,17-18,21831
25/01/19,18-19,21562
25/01/19,19-20,21103
25/01/19,20-21,20488
25/01/19,21-22,20162
25/01/19,22-23,19604
25/01/19,23-00,19087
26/01/19,00-01,18660
26/01/19,01-02,18272
26/01/19,02-03,18012
26/01/19,03-04,17938
26/01/19,04-05,18051
26/01/19,05-06,18224
26/01/19,06-07,18549
26/01/19,07-08,19031
26/01/19,08-09,19704
26/01/19,09-10,20261
26/01/19,10-11,20646
26/01/19,11-12,20776
26/01/19,12-13,20539
26/01/19,13-14,20377
26/01/19,14-15,20298
26/01/19,15-16,20447
26/01/19,16-17,20828
26/01/19,17-18,21090
26/01/19,18-19,20907
26/01/19,19-20,20433
26/01/19,20-21,19985
26/01/19,21-22,19616
26/01/19,22-23,19294
26/01/19,23-00,18937
27/01/19,00-01,18423
27/01/19,01-02,18148
27/01/19,02-03,18049
27/01/19,03-04,17939
27/01/19,04-05,17957
27/01/19,05-06,18130
27/01/19,06-07,18421
27/01/19,07-08,18816
27/01/19,08-09,19335
27/01/19,09-10,20143
27/01/19,10-11,20737
27/01/19,11-12,20788
27/01/19,12-13,20606
27/01/19,13-14,20517
27/01/19,14-15,20547
27/01/19,15-16,20585
27/01/19,16-17,20940
27/01/19,17-18,21169
27/01/19,18-19,21015
27/01/19,19-20,20879
27/01/19,20-21,20624
27/01/19,21-22,20412
27/01/19,22-23,19872
27/01/19,23-00,19223
28/01/19,00-01,18757
28/01/19,01-02,18498
28/01/19,02-03,18285
28/01/19,03-04,18372
28/01/19,04-05,18708
28/01/19,05-06,19228
28/01/19,06-07,20696
28/01/19,07-08,22264
28/01/19,08-09,22687
28/01/19,09-10,22378
28/01/19,10-11,22370
28/01/19,11-12,22240
28/01/19,12-13,22045
28/01/19,13-14,21933
28/01/19,14-15,21982
28/01/19,15-16,22147
28/01/19,16-17,22299
28/01/19,17-18,22451
28/01/19,18-19,22313
28/01/19,19-20,22023
28/01/19,20-21,21794
28/01/19,21-22,21430
28/01/19,22-23,20709
28/01/19,23-00,20099
29/01/19,00-01,19499
29/01/19,01-02,19163
29/01/19,02-03,19072
29/01/19,03-04,19093
29/01/19,04-05,19434
29/01/19,05-06,19901
29/01/19,06-07,21343
29/01/19,07-08,23016
29/01/19,08-09,23300
29/01/19,09-10,23065
29/01/19,10-11,22957
29/01/19,11-12,22780
29/01/19,12-13,22655
29/01/19,13-14,22392
29/01/19,14-15,22387
29/01/19,15-16,22545
29/01/19,16-17,22934
29/01/19,17-18,23197
29/01/19,18-19,22898
29/01/19,19-20,22459
29/01/19,20-21,22162
29/01/19,21-22,21638
29/01/19,22-23,20872
29/01/19,23-00,20064
30/01/19,00-01,19660
30/01/19,01-02,19324
30/01/19,02-03,19222
30/01/19,03-04,19243
30/01/19,04-05,19567
30/01/19,05-06,20187
30/01/19,06-07,21458
30/01/19,07-08,22987
30/01/19,08-09,23102
30/01/19,09-10,22823
30/01/19,10-11,22886
30/01/19,11-12,22720
30/01/19,12-13,22602
30/01/19,13-14,22470
30/01/19,14-15,22427
30/01/19,15-16,22542
30/01/19,16-17,22936
30/01/19,17-18,22928
30/01/19,18-19,22657
30/01/19,19-20,22359
30/01/19,20-21,21929
30/01/19,21-22,21520
30/01/19,22-23,20773
30/01/19,23-00,19993
31/01/19,00-01,19297
31/01/19,01-02,18813
31/01/19,02-03,18750
31/01/19,03-04,18686
31/01/19,04-05,18741
31/01/19,05-06,19675
31/01/19,06-07,20977
31/01/19,07-08,22468
31/01/19,08-09,22942
31/01/19,09-10,22719
31/01/19,10-11,22660
31/01/19,11-12,22331
31/01/19,12-13,22383
31/01/19,13-14,22282
31/01/19,14-15,22343
31/01/19,15-16,22396
31/01/19,16-17,23079
31/01/19,17-18,23672
31/01/19,18-19,23197
31/01/19,19-20,22677
31/01/19,20-21,21491
31/01/19,21-22,20671
31/01/19,22-23,19813
31/01/19,23-00,18638
01/02/19,00-01,17636
01/02/19,01-02,17240
01/02/19,02-03,17017
01/02/19,03-04,16884
01/02/19,04-05,17218
01/02/19,05-06,17874
01/02/19,06-07,19215
01/02/19,07-08,21607
01/02/19,08-09,22318
01/02/19,09-10,22027
01/02/19,10-11,21730
01/02/19,11-12,21629
01/02/19,12-13,21126
01/02/19,13-14,21012
01/02/19,14-15,21537
01/02/19,15-16,21806
01/02/19,16-17,21650
01/02/19,17-18,21835
01/02/19,18-19,21700
01/02/19,19-20,21359
01/02/19,20-21,20794
01/02/19,21-22,20256
01/02/19,22-23,19624
01/02/19,23-00,18935
02/02/19,00-01,18501
02/02/19,01-02,18148
02/02/19,02-03,17964
02/02/19,03-04,17789
02/02/19,04-05,17800
02/02/19,05-06,18053
02/02/19,06-07,18365
02/02/19,07-08,19020
02/02/19,08-09,19814
02/02/19,09-10,20578
02/02/19,10-11,20936
02/02/19,11-12,20947
02/02/19,12-13,20819
02/02/19,13-14,20456
02/02/19,14-15,20383
02/02/19,15-16,20547
02/02/19,16-17,20813
02/02/19,17-18,21416
02/02/19,18-19,21236
02/02/19,19-20,20764
02/02/19,20-21,20207
02/02/19,21-22,19936
02/02/19,22-23,19431
02/02/19,23-00,18911
03/02/19,00-01,18437
03/02/19,01-02,18116
03/02/19,02-03,17931
03/02/19,03-04,17885
03/02/19,04-05,17892
03/02/19,05-06,17996
03/02/19,06-07,18317
03/02/19,07-08,18716
03/02/19,08-09,19078
03/02/19,09-10,19797
03/02/19,10-11,20163
03/02/19,11-12,20157
03/02/19,12-13,19976
03/02/19,13-14,19755
03/02/19,14-15,19594
03/02/19,15-16,19596
03/02/19,16-17,20250
03/02/19,17-18,20958
03/02/19,18-19,21077
03/02/19,19-20,20851
03/02/19,20-21,20612
03/02/19,21-22,20237
03/02/19,22-23,19752
03/02/19,23-00,19172
04/02/19,00-01,18825
04/02/19,01-02,18529
04/02/19,02-03,18538
04/02/19,03-04,18610
04/02/19,04-05,18772
04/02/19,05-06,19260
04/02/19,06-07,20799
04/02/19,07-08,22249
04/02/19,08-09,22493
04/02/19,09-10,22507
04/02/19,10-11,22503
04/02/19,11-12,22211
04/02/19,12-13,21985
04/02/19,13-14,21981
04/02/19,14-15,22013
04/02/19,15-16,22100
04/02/19,16-17,22335
04/02/19,17-18,22507
04/02/19,18-19,22195
04/02/19,19-20,21855
04/02/19,20-21,21458
04/02/19,21-22,20852
04/02/19,22-23,20221
04/02/19,23-00,19242
05/02/19,00-01,18708
05/02/19,01-02,18465
05/02/19,02-03,18052
05/02/19,03-04,17943
05/02/19,04-05,18067
05/02/19,05-06,18711
05/02/19,06-07,20271
05/02/19,07-08,21841
05/02/19,08-09,22295
05/02/19,09-10,22046
05/02/19,10-11,21851
05/02/19,11-12,21634
05/02/19,12-13,21415
05/02/19,13-14,21063
05/02/19,14-15,21105
05/02/19,15-16,21178
05/02/19,16-17,21405
05/02/19,17-18,21711
05/02/19,18-19,21669
05/02/19,19-20,21420
05/02/19,20-21,21112
05/02/19,21-22,20820
05/02/19,22-23,20232
05/02/19,23-00,19337
06/02/19,00-01,18802
06/02/19,01-02,18571
06/02/19,02-03,18537
06/02/19,03-04,18483
06/02/19,04-05,18720
06/02/19,05-06,19190
06/02/19,06-07,20524
06/02/19,07-08,22318
06/02/19,08-09,22699
06/02/19,09-10,22510
06/02/19,10-11,22346
06/02/19,11-12,22127
06/02/19,12-13,21915
06/02/19,13-14,21641
06/02/19,14-15,21840
06/02/19,15-16,21931
06/02/19,16-17,21927
06/02/19,17-18,22048
06/02/19,18-19,21803
06/02/19,19-20,21417
06/02/19,20-21,21107
06/02/19,21-22,20593
06/02/19,22-23,19870
06/02/19,23-00,19128
07/02/19,00-01,18359
07/02/19,01-02,17894
07/02/19,02-03,17907
07/02/19,03-04,17926
07/02/19,04-05,18080
07/02/19,05-06,18470
07/02/19,06-07,20184
07/02/19,07-08,21393
07/02/19,08-09,21753
07/02/19,09-10,21526
07/02/19,10-11,21513
07/02/19,11-12,21197
07/02/19,12-13,20977
07/02/19,13-14,21076
07/02/19,14-15,20962
07/02/19,15-16,21013
07/02/19,16-17,21093
07/02/19,17-18,21512
07/02/19,18-19,21412
07/02/19,19-20,21070
07/02/19,20-21,20864
07/02/19,21-22,20196
07/02/19,22-23,19538
07/02/19,23-00,18700
08/02/19,00-01,18103
08/02/19,01-02,17768
08/02/19,02-03,17520
08/02/19,03-04,17497
08/02/19,04-05,17798
08/02/19,05-06,18182
08/02/19,06-07,19660
08/02/19,07-08,21090
08/02/19,08-09,21442
08/02/19,09-10,21452
08/02/19,10-11,20888
08/02/19,11-12,20390
08/02/19,12-13,19945
08/02/19,13-14,19821
08/02/19,14-15,19762
08/02/19,15-16,19825
08/02/19,16-17,20040
08/02/19,17-18,20501
08/02/19,18-19,20343
08/02/19,19-20,19949
08/02/19,20-21,19318
08/02/19,21-22,18681
08/02/19,22-23,18227
08/02/19,23-00,17611
09/02/19,00-01,17020
09/02/19,01-02,16607
09/02/19,02-03,16450
09/02/19,03-04,16324
09/02/19,04-05,16310
09/02/19,05-06,16680
09/02/19,06-07,16717
09/02/19,07-08,17172
09/02/19,08-09,17831
09/02/19,09-10,18631
09/02/19,10-11,18726
09/02/19,11-12,18720
09/02/19,12-13,18538
09/02/19,13-14,18396
09/02/19,14-15,18146
09/02/19,15-16,18245
09/02/19,16-17,18459
09/02/19,17-18,18888
09/02/19,18-19,18976
09/02/19,19-20,18737
09/02/19,20-21,18357
09/02/19,21-22,17783
09/02/19,22-23,17447
09/02/19,23-00,16934
10/02/19,00-01,16540
10/02/19,01-02,16237
10/02/19,02-03,16045
10/02/19,03-04,16026
10/02/19,04-05,15995
10/02/19,05-06,16149
10/02/19,06-07,16347
10/02/19,07-08,16514
10/02/19,08-09,17076
10/02/19,09-10,17575
10/02/19,10-11,17903
10/02/19,11-12,17908
10/02/19,12-13,17964
10/02/19,13-14,17854
10/02/19,14-15,17768
10/02/19,15-16,17957
10/02/19,16-17,18018
10/02/19,17-18,18115
10/02/19,18-19,18411
10/02/19,19-20,18411
10/02/19,20-21,18272
10/02/19,21-22,18133
10/02/19,22-23,17572
10/02/19,23-00,17263
11/02/19,00-01,16803
11/02/19,01-02,16499
11/02/19,02-03,16455
11/02/19,03-04,16487
11/02/19,04-05,16774
11/02/19,05-06,17383
11/02/19,06-07,19110
11/02/19,07-08,20649
11/02/19,08-09,20844
11/02/19,09-10,20551
11/02/19,10-11,20196
11/02/19,11-12,19857
11/02/19,12-13,19751
11/02/19,13-14,19424
11/02/19,14-15,19102
11/02/19,15-16,19372
11/02/19,16-17,19639
11/02/19,17-18,20074
11/02/19,18-19,20058
11/02/19,19-20,19952
11/02/19,20-21,19467
11/02/19,21-22,19328
11/02/19,22-23,18712
11/02/19,23-00,17971
12/02/19,00-01,17541
12/02/19,01-02,17353
12/02/19,02-03,17115
12/02/19,03-04,17219
12/02/19,04-05,17498
12/02/19,05-06,18116
12/02/19,06-07,19580
12/02/19,07-08,21333
12/02/19,08-09,21129
12/02/19,09-10,20873
12/02/19,10-11,20802
12/02/19,11-12,20642
12/02/19,12-13,20319
12/02/19,13-14,19894
12/02/19,14-15,19928
12/02/19,15-16,20353
12/02/19,16-17,20480
12/02/19,17-18,20438
12/02/19,18-19,20223
12/02/19,19-20,19777
12/02/19,20-21,19284
12/02/19,21-22,18816
12/02/19,22-23,18266
12/02/19,23-00,17226
13/02/19,00-01,16741
13/02/19,01-02,16248
13/02/19,02-03,16051
13/02/19,03-04,16093
13/02/19,04-05,16284
13/02/19,05-06,16649
13/02/19,06-07,17871
13/02/19,07-08,19232
13/02/19,08-09,19157
13/02/19,09-10,18927
13/02/19,10-11,18542
13/02/19,11-12,18294
13/02/19,12-13,18251
13/02/19,13-14,18088
13/02/19,14-15,18086
13/02/19,15-16,18116
13/02/19,16-17,18552
13/02/19,17-18,18864
13/02/19,18-19,18710
13/02/19,19-20,18328
13/02/19,20-21,18562
13/02/19,21-22,17899
13/02/19,22-23,17269
13/02/19,23-00,16612
14/02/19,00-01,16285
14/02/19,01-02,16027
14/02/19,02-03,15802
14/02/19,03-04,15775
14/02/19,04-05,15902
14/02/19,05-06,16494
14/02/19,06-07,17793
14/02/19,07-08,19133
14/02/19,08-09,19307
14/02/19,09-10,19212
14/02/19,10-11,19174
14/02/19,11-12,18641
14/02/19,12-13,18371
14/02/19,13-14,18299
14/02/19,14-15,18560
14/02/19,15-16,18654
14/02/19,16-17,18667
14/02/19,17-18,18909
14/02/19,18-19,18785
