Date,Hours,NO
01/01/17,00-01,14912
01/01/17,01-02,14786
01/01/17,02-03,14638
01/01/17,03-04,14442
01/01/17,04-05,14392
01/01/17,05-06,14530
01/01/17,06-07,14826
01/01/17,07-08,14964
01/01/17,08-09,15253
01/01/17,09-10,15702
01/01/17,10-11,16202
01/01/17,11-12,16449
01/01/17,12-13,16570
01/01/17,13-14,16516
01/01/17,14-15,16688
01/01/17,15-16,17128
01/01/17,16-17,17480
01/01/17,17-18,17626
01/01/17,18-19,17643
01/01/17,19-20,17606
01/01/17,20-21,17443
01/01/17,21-22,17280
01/01/17,22-23,16883
01/01/17,23-00,16534
02/01/17,00-01,16091
02/01/17,01-02,15844
02/01/17,02-03,15959
02/01/17,03-04,16011
02/01/17,04-05,16260
02/01/17,05-06,16727
02/01/17,06-07,17885
02/01/17,07-08,19458
02/01/17,08-09,20151
02/01/17,09-10,20312
02/01/17,10-11,20591
02/01/17,11-12,20428
02/01/17,12-13,20287
02/01/17,13-14,20151
02/01/17,14-15,20308
02/01/17,15-16,20571
02/01/17,16-17,20928
02/01/17,17-18,20817
02/01/17,18-19,20459
02/01/17,19-20,20290
02/01/17,20-21,20002
02/01/17,21-22,19686
02/01/17,22-23,19093
02/01/17,23-00,18257
03/01/17,00-01,17609
03/01/17,01-02,17075
03/01/17,02-03,16892
03/01/17,03-04,16884
03/01/17,04-05,17000
03/01/17,05-06,17307
03/01/17,06-07,18675
03/01/17,07-08,20350
03/01/17,08-09,20942
03/01/17,09-10,20775
03/01/17,10-11,20642
03/01/17,11-12,20556
03/01/17,12-13,20197
03/01/17,13-14,20233
03/01/17,14-15,20267
03/01/17,15-16,20539
03/01/17,16-17,20691
03/01/17,17-18,20705
03/01/17,18-19,20337
03/01/17,19-20,20006
03/01/17,20-21,19783
03/01/17,21-22,19388
03/01/17,22-23,18627
03/01/17,23-00,17893
04/01/17,00-01,17318
04/01/17,01-02,16838
04/01/17,02-03,16551
04/01/17,03-04,16639
04/01/17,04-05,16766
04/01/17,05-06,17480
04/01/17,06-07,18980
04/01/17,07-08,20653
04/01/17,08-09,21111
04/01/17,09-10,20930
04/01/17,10-11,20942
04/01/17,11-12,21017
04/01/17,12-13,20991
04/01/17,13-14,21110
04/01/17,14-15,21230
04/01/17,15-16,21339
04/01/17,16-17,21683
04/01/17,17-18,21814
04/01/17,18-19,21503
04/01/17,19-20,21395
04/01/17,20-21,21138
04/01/17,21-22,20694
04/01/17,22-23,20203
04/01/17,23-00,19357
05/01/17,00-01,18756
05/01/17,01-02,18500
05/01/17,02-03,18494
05/01/17,03-04,18575
05/01/17,04-05,18877
05/01/17,05-06,19348
05/01/17,06-07,20745
05/01/17,07-08,22530
05/01/17,08-09,23159
05/01/17,09-10,23143
05/01/17,10-11,23119
05/01/17,11-12,22842
05/01/17,12-13,22546
05/01/17,13-14,22337
05/01/17,14-15,22434
05/01/17,15-16,22714
05/01/17,16-17,23096
05/01/17,17-18,23011
05/01/17,18-19,22785
05/01/17,19-20,22480
05/01/17,20-21,22139
05/01/17,21-22,21638
05/01/17,22-23,21073
05/01/17,23-00,20233
06/01/17,00-01,19734
06/01/17,01-02,19395
06/01/17,02-03,19001
06/01/17,03-04,18915
06/01/17,04-05,18999
06/01/17,05-06,19263
06/01/17,06-07,20611
06/01/17,07-08,22325
06/01/17,08-09,22898
06/01/17,09-10,22703
06/01/17,10-11,22461
06/01/17,11-12,22266
06/01/17,12-13,22049
06/01/17,13-14,21883
06/01/17,14-15,21757
06/01/17,15-16,21709
06/01/17,16-17,21776
06/01/17,17-18,21588
06/01/17,18-19,21067
06/01/17,19-20,20797
06/01/17,20-21,19966
06/01/17,21-22,19392
06/01/17,22-23,18603
06/01/17,23-00,17869
07/01/17,00-01,17292
07/01/17,01-02,16801
07/01/17,02-03,16564
07/01/17,03-04,16427
07/01/17,04-05,16294
07/01/17,05-06,16382
07/01/17,06-07,16694
07/01/17,07-08,17205
07/01/17,08-09,18110
07/01/17,09-10,18744
07/01/17,10-11,19257
07/01/17,11-12,19368
07/01/17,12-13,19295
07/01/17,13-14,19099
07/01/17,14-15,18906
07/01/17,15-16,19024
07/01/17,16-17,19606
07/01/17,17-18,19801
07/01/17,18-19,19751
07/01/17,19-20,19491
07/01/17,20-21,19022
07/01/17,21-22,18613
07/01/17,22-23,18190
07/01/17,23-00,17768
08/01/17,00-01,17305
08/01/17,01-02,17168
08/01/17,02-03,16928
08/01/17,03-04,16795
08/01/17,04-05,16671
08/01/17,05-06,16793
08/01/17,06-07,16983
08/01/17,07-08,17312
08/01/17,08-09,17782
08/01/17,09-10,18355
08/01/17,10-11,18839
08/01/17,11-12,18903
08/01/17,12-13,18837
08/01/17,13-14,18779
08/01/17,14-15,18842
08/01/17,15-16,19055
08/01/17,16-17,19296
08/01/17,17-18,19280
08/01/17,18-19,19127
08/01/17,19-20,18991
08/01/17,20-21,18691
08/01/17,21-22,18417
08/01/17,22-23,17767
08/01/17,23-00,17140
09/01/17,00-01,16674
09/01/17,01-02,16396
09/01/17,02-03,16187
09/01/17,03-04,16193
09/01/17,04-05,16354
09/01/17,05-06,16937
09/01/17,06-07,18286
09/01/17,07-08,19804
09/01/17,08-09,20253
09/01/17,09-10,19992
09/01/17,10-11,19930
09/01/17,11-12,19693
09/01/17,12-13,19650
09/01/17,13-14,19758
09/01/17,14-15,19685
09/01/17,15-16,19758
09/01/17,16-17,19801
09/01/17,17-18,19396
09/01/17,18-19,19092
09/01/17,19-20,18806
09/01/17,20-21,18507
09/01/17,21-22,18163
09/01/17,22-23,17355
09/01/17,23-00,16682
10/01/17,00-01,16126
10/01/17,01-02,15687
10/01/17,02-03,15599
10/01/17,03-04,15624
10/01/17,04-05,15886
10/01/17,05-06,16304
10/01/17,06-07,17839
10/01/17,07-08,19365
10/01/17,08-09,19852
10/01/17,09-10,19699
10/01/17,10-11,19416
10/01/17,11-12,19329
10/01/17,12-13,19464
10/01/17,13-14,19514
10/01/17,14-15,19493
10/01/17,15-16,19549
10/01/17,16-17,19790
10/01/17,17-18,19728
10/01/17,18-19,19380
10/01/17,19-20,19111
10/01/17,20-21,18740
10/01/17,21-22,18321
10/01/17,22-23,17538
10/01/17,23-00,16605
11/01/17,00-01,15897
11/01/17,01-02,15513
11/01/17,02-03,15355
11/01/17,03-04,15513
11/01/17,04-05,15591
11/01/17,05-06,15912
11/01/17,06-07,17199
11/01/17,07-08,18910
11/01/17,08-09,19187
11/01/17,09-10,19370
11/01/17,10-11,19457
11/01/17,11-12,19166
11/01/17,12-13,19127
11/01/17,13-14,19282
11/01/17,14-15,19204
11/01/17,15-16,19321
11/01/17,16-17,19577
11/01/17,17-18,19530
11/01/17,18-19,19276
11/01/17,19-20,19064
11/01/17,20-21,18593
11/01/17,21-22,18391
11/01/17,22-23,17749
11/01/17,23-00,16818
12/01/17,00-01,16393
12/01/17,01-02,16085
12/01/17,02-03,15962
12/01/17,03-04,15945
12/01/17,04-05,16104
12/01/17,05-06,16571
12/01/17,06-07,18002
12/01/17,07-08,19630
12/01/17,08-09,20112
12/01/17,09-10,19909
12/01/17,10-11,19880
12/01/17,11-12,19750
12/01/17,12-13,19507
12/01/17,13-14,19427
12/01/17,14-15,19557
12/01/17,15-16,19710
12/01/17,16-17,20270
12/01/17,17-18,20284
12/01/17,18-19,19986
12/01/17,19-20,19792
12/01/17,20-21,19512
12/01/17,21-22,18900
12/01/17,22-23,18381
12/01/17,23-00,17550
13/01/17,00-01,16880
13/01/17,01-02,16498
13/01/17,02-03,16361
13/01/17,03-04,16389
13/01/17,04-05,16603
13/01/17,05-06,17281
13/01/17,06-07,18856
13/01/17,07-08,20598
13/01/17,08-09,21277
13/01/17,09-10,21180
13/01/17,10-11,20910
13/01/17,11-12,20803
13/01/17,12-13,20376
13/01/17,13-14,19888
13/01/17,14-15,19855
13/01/17,15-16,19925
13/01/17,16-17,20228
13/01/17,17-18,20186
13/01/17,18-19,20136
13/01/17,19-20,19938
13/01/17,20-21,19371
13/01/17,21-22,19042
13/01/17,22-23,18421
13/01/17,23-00,17895
14/01/17,00-01,17340
14/01/17,01-02,17052
14/01/17,02-03,16852
14/01/17,03-04,16749
14/01/17,04-05,16761
14/01/17,05-06,16899
14/01/17,06-07,17436
14/01/17,07-08,17848
14/01/17,08-09,18443
14/01/17,09-10,19227
14/01/17,10-11,19718
14/01/17,11-12,19644
14/01/17,12-13,19341
14/01/17,13-14,19294
14/01/17,14-15,19258
14/01/17,15-16,19388
14/01/17,16-17,19874
14/01/17,17-18,20129
14/01/17,18-19,20067
14/01/17,19-20,19767
14/01/17,20-21,19279
14/01/17,21-22,18793
14/01/17,22-23,18446
14/01/17,23-00,17979
15/01/17,00-01,17634
15/01/17,01-02,17443
15/01/17,02-03,17276
15/01/17,03-04,17235
15/01/17,04-05,17467
15/01/17,05-06,17576
15/01/17,06-07,17854
15/01/17,07-08,18252
15/01/17,08-09,18751
15/01/17,09-10,19348
15/01/17,10-11,19839
15/01/17,11-12,19790
15/01/17,12-13,19473
15/01/17,13-14,19324
15/01/17,14-15,19427
15/01/17,15-16,19701
15/01/17,16-17,20300
15/01/17,17-18,20496
15/01/17,18-19,20396
15/01/17,19-20,20250
15/01/17,20-21,20169
15/01/17,21-22,20039
15/01/17,22-23,19582
15/01/17,23-00,18948
16/01/17,00-01,18288
16/01/17,01-02,17996
16/01/17,02-03,17898
16/01/17,03-04,17997
16/01/17,04-05,18224
16/01/17,05-06,18764
16/01/17,06-07,20409
16/01/17,07-08,22126
16/01/17,08-09,22666
16/01/17,09-10,22442
16/01/17,10-11,22112
16/01/17,11-12,21914
16/01/17,12-13,21785
16/01/17,13-14,21494
16/01/17,14-15,21415
16/01/17,15-16,21612
16/01/17,16-17,21926
16/01/17,17-18,21993
16/01/17,18-19,21803
16/01/17,19-20,21588
16/01/17,20-21,21404
16/01/17,21-22,21100
16/01/17,22-23,20289
16/01/17,23-00,19320
17/01/17,00-01,18466
17/01/17,01-02,18090
17/01/17,02-03,17878
17/01/17,03-04,17761
17/01/17,04-05,17949
17/01/17,05-06,18395
17/01/17,06-07,19634
17/01/17,07-08,21325
17/01/17,08-09,21742
17/01/17,09-10,21462
17/01/17,10-11,21199
17/01/17,11-12,21064
17/01/17,12-13,20877
17/01/17,13-14,20885
17/01/17,14-15,20967
17/01/17,15-16,20957
17/01/17,16-17,21171
17/01/17,17-18,21057
17/01/17,18-19,20742
17/01/17,19-20,20281
17/01/17,20-21,19904
17/01/17,21-22,19459
17/01/17,22-23,18718
17/01/17,23-00,17785
18/01/17,00-01,17243
18/01/17,01-02,16740
18/01/17,02-03,16584
18/01/17,03-04,16551
18/01/17,04-05,16773
18/01/17,05-06,17230
18/01/17,06-07,18614
18/01/17,07-08,20223
18/01/17,08-09,20732
18/01/17,09-10,20401
18/01/17,10-11,20154
18/01/17,11-12,19882
18/01/17,12-13,19714
18/01/17,13-14,19699
18/01/17,14-15,19684
18/01/17,15-16,19742
18/01/17,16-17,19964
18/01/17,17-18,19907
18/01/17,18-19,19576
18/01/17,19-20,19341
18/01/17,20-21,18924
18/01/17,21-22,18635
18/01/17,22-23,17828
18/01/17,23-00,17072
19/01/17,00-01,16464
19/01/17,01-02,16236
19/01/17,02-03,16052
19/01/17,03-04,15968
19/01/17,04-05,16048
19/01/17,05-06,16470
19/01/17,06-07,17931
19/01/17,07-08,19707
19/01/17,08-09,19834
19/01/17,09-10,19711
19/01/17,10-11,19585
19/01/17,11-12,19433
19/01/17,12-13,19356
19/01/17,13-14,19265
19/01/17,14-15,19215
19/01/17,15-16,19270
19/01/17,16-17,19627
19/01/17,17-18,19720
19/01/17,18-19,19433
19/01/17,19-20,19076
19/01/17,20-21,18644
19/01/17,21-22,18284
19/01/17,22-23,17632
19/01/17,23-00,16770
20/01/17,00-01,16220
20/01/17,01-02,15820
20/01/17,02-03,15588
20/01/17,03-04,15613
20/01/17,04-05,15740
20/01/17,05-06,16071
20/01/17,06-07,17315
20/01/17,07-08,19040
20/01/17,08-09,19447
20/01/17,09-10,19291
20/01/17,10-11,19147
20/01/17,11-12,18884
20/01/17,12-13,18585
20/01/17,13-14,18562
20/01/17,14-15,18495
20/01/17,15-16,18480
20/01/17,16-17,18854
20/01/17,17-18,18963
20/01/17,18-19,18735
20/01/17,19-20,18447
20/01/17,20-21,17964
20/01/17,21-22,17422
20/01/17,22-23,16930
20/01/17,23-00,16284
21/01/17,00-01,15732
21/01/17,01-02,15292
21/01/17,02-03,15140
21/01/17,03-04,15132
21/01/17,04-05,15366
21/01/17,05-06,15588
21/01/17,06-07,15964
21/01/17,07-08,16375
21/01/17,08-09,17132
21/01/17,09-10,17872
21/01/17,10-11,18334
21/01/17,11-12,18210
21/01/17,12-13,18000
21/01/17,13-14,17707
21/01/17,14-15,17592
21/01/17,15-16,17798
21/01/17,16-17,18191
21/01/17,17-18,18673
21/01/17,18-19,18726
21/01/17,19-20,18444
21/01/17,20-21,18046
21/01/17,21-22,17600
21/01/17,22-23,17144
21/01/17,23-00,16722
22/01/17,00-01,16373
22/01/17,01-02,16079
22/01/17,02-03,15859
22/01/17,03-04,15820
22/01/17,04-05,15849
22/01/17,05-06,15894
22/01/17,06-07,16120
22/01/17,07-08,16402
22/01/17,08-09,16931
22/01/17,09-10,17355
22/01/17,10-11,17919
22/01/17,11-12,18100
22/01/17,12-13,18035
22/01/17,13-14,18104
22/01/17,14-15,18099
22/01/17,15-16,18243
22/01/17,16-17,18593
22/01/17,17-18,18666
22/01/17,18-19,18624
22/01/17,19-20,18498
22/01/17,20-21,18223
22/01/17,21-22,17975
22/01/17,22-23,17593
22/01/17,23-00,16953
23/01/17,00-01,16342
23/01/17,01-02,16081
23/01/17,02-03,15941
23/01/17,03-04,16015
23/01/17,04-05,16248
23/01/17,05-06,16869
23/01/17,06-07,18236
23/01/17,07-08,19949
23/01/17,08-09,20592
23/01/17,09-10,20412
23/01/17,10-11,20298
23/01/17,11-12,19884
23/01/17,12-13,19936
23/01/17,13-14,19841
23/01/17,14-15,19665
23/01/17,15-16,19840
23/01/17,16-17,20255
23/01/17,17-18,20387
23/01/17,18-19,20130
23/01/17,19-20,19933
23/01/17,20-21,19724
23/01/17,21-22,19361
23/01/17,22-23,18526
23/01/17,23-00,17820
24/01/17,00-01,16935
24/01/17,01-02,16736
24/01/17,02-03,16728
24/01/17,03-04,16773
24/01/17,04-05,16863
24/01/17,05-06,17353
24/01/17,06-07,18966
24/01/17,07-08,20631
24/01/17,08-09,21035
24/01/17,09-10,20701
24/01/17,10-11,20682
24/01/17,11-12,20287
24/01/17,12-13,20271
24/01/17,13-14,20345
24/01/17,14-15,20275
24/01/17,15-16,20300
24/01/17,16-17,20607
24/01/17,17-18,20506
24/01/17,18-19,20127
24/01/17,19-20,20022
24/01/17,20-21,19625
24/01/17,21-22,19163
24/01/17,22-23,18392
24/01/17,23-00,17625
25/01/17,00-01,17050
25/01/17,01-02,16478
25/01/17,02-03,16169
25/01/17,03-04,16186
25/01/17,04-05,16413
25/01/17,05-06,16751
25/01/17,06-07,18166
25/01/17,07-08,19799
25/01/17,08-09,20114
25/01/17,09-10,19876
25/01/17,10-11,19758
25/01/17,11-12,19578
25/01/17,12-13,19429
25/01/17,13-14,19370
25/01/17,14-15,19287
25/01/17,15-16,19345
25/01/17,16-17,19660
25/01/17,17-18,19698
25/01/17,18-19,19426
25/01/17,19-20,19164
25/01/17,20-21,18694
25/01/17,21-22,18204
25/01/17,22-23,17457
25/01/17,23-00,16692
26/01/17,00-01,16009
26/01/17,01-02,15607
26/01/17,02-03,15405
26/01/17,03-04,15492
26/01/17,04-05,15784
26/01/17,05-06,16263
26/01/17,06-07,17611
26/01/17,07-08,19291
26/01/17,08-09,19611
26/01/17,09-10,19547
26/01/17,10-11,19604
26/01/17,11-12,19259
26/01/17,12-13,19077
26/01/17,13-14,18753
26/01/17,14-15,18717
26/01/17,15-16,18955
26/01/17,16-17,19319
26/01/17,17-18,19671
26/01/17,18-19,19543
26/01/17,19-20,19267
26/01/17,20-21,18898
26/01/17,21-22,18574
26/01/17,22-23,17949
26/01/17,23-00,17120
27/01/17,00-01,16585
27/01/17,01-02,16251
27/01/17,02-03,16101
27/01/17,03-04,16076
27/01/17,04-05,16222
27/01/17,05-06,16635
27/01/17,06-07,18121
27/01/17,07-08,19876
27/01/17,08-09,20317
27/01/17,09-10,20155
27/01/17,10-11,20117
27/01/17,11-12,19882
27/01/17,12-13,19630
27/01/17,13-14,19456
27/01/17,14-15,19443
27/01/17,15-16,19422
27/01/17,16-17,19544
27/01/17,17-18,19770
27/01/17,18-19,19730
27/01/17,19-20,19379
27/01/17,20-21,18768
27/01/17,21-22,18279
27/01/17,22-23,17646
27/01/17,23-00,17013
28/01/17,00-01,16527
28/01/17,01-02,16266
28/01/17,02-03,16020
28/01/17,03-04,16012
28/01/17,04-05,16086
28/01/17,05-06,16230
28/01/17,06-07,16444
28/01/17,07-08,16831
28/01/17,08-09,17475
28/01/17,09-10,18155
28/01/17,10-11,18660
28/01/17,11-12,18719
28/01/17,12-13,18616
28/01/17,13-14,18535
28/01/17,14-15,18439
28/01/17,15-16,18443
28/01/17,16-17,18756
28/01/17,17-18,18989
28/01/17,18-19,18882
28/01/17,19-20,18567
28/01/17,20-21,18065
28/01/17,21-22,17599
28/01/17,22-23,17039
28/01/17,23-00,16633
29/01/17,00-01,16256
29/01/17,01-02,15882
29/01/17,02-03,15672
29/01/17,03-04,15580
29/01/17,04-05,15639
29/01/17,05-06,15735
29/01/17,06-07,15968
29/01/17,07-08,16249
29/01/17,08-09,16711
29/01/17,09-10,17373
29/01/17,10-11,17896
29/01/17,11-12,18151
29/01/17,12-13,18204
29/01/17,13-14,18320
29/01/17,14-15,18279
29/01/17,15-16,18363
29/01/17,16-17,18629
29/01/17,17-18,18739
29/01/17,18-19,18536
29/01/17,19-20,18411
29/01/17,20-21,18240
29/01/17,21-22,17860
29/01/17,22-23,17393
29/01/17,23-00,16855
30/01/17,00-01,16252
30/01/17,01-02,15683
30/01/17,02-03,15586
30/01/17,03-04,15717
30/01/17,04-05,15940
30/01/17,05-06,16586
30/01/17,06-07,18099
30/01/17,07-08,19834
30/01/17,08-09,20229
30/01/17,09-10,20053
30/01/17,10-11,19834
