Date,Hours,NO
30/01/17,11-12,19655
30/01/17,12-13,19447
30/01/17,13-14,19331
30/01/17,14-15,19270
30/01/17,15-16,19419
30/01/17,16-17,19813
30/01/17,17-18,19965
30/01/17,18-19,19826
30/01/17,19-20,19688
30/01/17,20-21,19464
30/01/17,21-22,19091
30/01/17,22-23,18396
30/01/17,23-00,17589
31/01/17,00-01,16923
31/01/17,01-02,16546
31/01/17,02-03,16425
31/01/17,03-04,16487
31/01/17,04-05,16651
31/01/17,05-06,17165
31/01/17,06-07,18511
31/01/17,07-08,20198
31/01/17,08-09,20755
31/01/17,09-10,20557
31/01/17,10-11,20547
31/01/17,11-12,20396
31/01/17,12-13,20189
31/01/17,13-14,20079
31/01/17,14-15,20013
31/01/17,15-16,19971
31/01/17,16-17,20372
31/01/17,17-18,20671
31/01/17,18-19,20484
31/01/17,19-20,20205
31/01/17,20-21,19793
31/01/17,21-22,19398
31/01/17,22-23,18684
31/01/17,23-00,17900
01/02/17,00-01,17169
01/02/17,01-02,16764
01/02/17,02-03,16601
01/02/17,03-04,16639
01/02/17,04-05,16775
01/02/17,05-06,17231
01/02/17,06-07,18631
01/02/17,07-08,20352
01/02/17,08-09,20777
01/02/17,09-10,20483
01/02/17,10-11,20525
01/02/17,11-12,20403
01/02/17,12-13,20427
01/02/17,13-14,20421
01/02/17,14-15,20478
01/02/17,15-16,20499
01/02/17,16-17,20603
01/02/17,17-18,20732
01/02/17,18-19,20470
01/02/17,19-20,20093
01/02/17,20-21,19767
01/02/17,21-22,19388
01/02/17,22-23,18650
01/02/17,23-00,17743
02/02/17,00-01,17151
02/02/17,01-02,16704
02/02/17,02-03,16514
02/02/17,03-04,16467
02/02/17,04-05,16605
02/02/17,05-06,17056
02/02/17,06-07,18519
02/02/17,07-08,20187
02/02/17,08-09,20508
02/02/17,09-10,20173
02/02/17,10-11,20329
02/02/17,11-12,20104
02/02/17,12-13,20059
02/02/17,13-14,20084
02/02/17,14-15,19992
02/02/17,15-16,20074
02/02/17,16-17,20254
02/02/17,17-18,20276
02/02/17,18-19,20006
02/02/17,19-20,19719
02/02/17,20-21,19404
02/02/17,21-22,19017
02/02/17,22-23,18356
02/02/17,23-00,17540
03/02/17,00-01,16825
03/02/17,01-02,16464
03/02/17,02-03,16157
03/02/17,03-04,16204
03/02/17,04-05,16295
03/02/17,05-06,16741
03/02/17,06-07,18124
03/02/17,07-08,19655
03/02/17,08-09,20036
03/02/17,09-10,19876
03/02/17,10-11,19932
03/02/17,11-12,19835
03/02/17,12-13,19709
03/02/17,13-14,19541
03/02/17,14-15,19504
03/02/17,15-16,19371
03/02/17,16-17,19524
03/02/17,17-18,19739
03/02/17,18-19,19522
03/02/17,19-20,19184
03/02/17,20-21,18678
03/02/17,21-22,18135
03/02/17,22-23,17612
03/02/17,23-00,17013
04/02/17,00-01,16496
04/02/17,01-02,16130
04/02/17,02-03,15923
04/02/17,03-04,15805
04/02/17,04-05,15782
04/02/17,05-06,15992
04/02/17,06-07,16337
04/02/17,07-08,16852
04/02/17,08-09,17546
04/02/17,09-10,18275
04/02/17,10-11,18792
04/02/17,11-12,18851
04/02/17,12-13,18586
04/02/17,13-14,18388
04/02/17,14-15,18417
04/02/17,15-16,18642
04/02/17,16-17,18844
04/02/17,17-18,19173
04/02/17,18-19,19259
04/02/17,19-20,18915
04/02/17,20-21,18597
04/02/17,21-22,18121
04/02/17,22-23,17596
04/02/17,23-00,17010
05/02/17,00-01,16622
05/02/17,01-02,16343
05/02/17,02-03,16206
05/02/17,03-04,16005
05/02/17,04-05,16011
05/02/17,05-06,16130
05/02/17,06-07,16376
05/02/17,07-08,16591
05/02/17,08-09,17097
05/02/17,09-10,17680
05/02/17,10-11,18157
05/02/17,11-12,18200
05/02/17,12-13,18124
05/02/17,13-14,18137
05/02/17,14-15,18253
05/02/17,15-16,18346
05/02/17,16-17,18720
05/02/17,17-18,19047
05/02/17,18-19,18995
05/02/17,19-20,18856
05/02/17,20-21,18696
05/02/17,21-22,18297
05/02/17,22-23,17697
05/02/17,23-00,17114
06/02/17,00-01,16671
06/02/17,01-02,16310
06/02/17,02-03,16110
06/02/17,03-04,16228
06/02/17,04-05,16388
06/02/17,05-06,16993
06/02/17,06-07,18368
06/02/17,07-08,20183
06/02/17,08-09,20481
06/02/17,09-10,20320
06/02/17,10-11,20322
06/02/17,11-12,20081
06/02/17,12-13,19942
06/02/17,13-14,19728
06/02/17,14-15,19850
06/02/17,15-16,19999
06/02/17,16-17,20222
06/02/17,17-18,20533
06/02/17,18-19,20426
06/02/17,19-20,20226
06/02/17,20-21,19957
06/02/17,21-22,19632
06/02/17,22-23,18990
06/02/17,23-00,18512
07/02/17,00-01,17535
07/02/17,01-02,17188
07/02/17,02-03,17025
07/02/17,03-04,17124
07/02/17,04-05,17368
07/02/17,05-06,18038
07/02/17,06-07,19557
07/02/17,07-08,21418
07/02/17,08-09,21850
07/02/17,09-10,21758
07/02/17,10-11,21690
07/02/17,11-12,21398
07/02/17,12-13,21298
07/02/17,13-14,21140
07/02/17,14-15,21124
07/02/17,15-16,21260
07/02/17,16-17,21536
07/02/17,17-18,21830
07/02/17,18-19,21741
07/02/17,19-20,21574
07/02/17,20-21,21345
07/02/17,21-22,21034
07/02/17,22-23,20379
07/02/17,23-00,19567
08/02/17,00-01,18750
08/02/17,01-02,18423
08/02/17,02-03,18315
08/02/17,03-04,18385
08/02/17,04-05,18548
08/02/17,05-06,19046
08/02/17,06-07,20651
08/02/17,07-08,22456
08/02/17,08-09,22746
08/02/17,09-10,22632
08/02/17,10-11,22419
08/02/17,11-12,22152
08/02/17,12-13,21974
08/02/17,13-14,21826
08/02/17,14-15,21642
08/02/17,15-16,21720
08/02/17,16-17,21927
08/02/17,17-18,22182
08/02/17,18-19,22181
08/02/17,19-20,22080
08/02/17,20-21,21792
08/02/17,21-22,21414
08/02/17,22-23,20685
08/02/17,23-00,19842
09/02/17,00-01,19286
09/02/17,01-02,18978
09/02/17,02-03,18837
09/02/17,03-04,18814
09/02/17,04-05,18978
09/02/17,05-06,19512
09/02/17,06-07,20993
09/02/17,07-08,22858
09/02/17,08-09,23246
09/02/17,09-10,23034
09/02/17,10-11,22856
09/02/17,11-12,22629
09/02/17,12-13,22347
09/02/17,13-14,22166
09/02/17,14-15,21976
09/02/17,15-16,22022
09/02/17,16-17,22055
09/02/17,17-18,22225
09/02/17,18-19,22163
09/02/17,19-20,22090
09/02/17,20-21,21581
09/02/17,21-22,21084
09/02/17,22-23,20430
09/02/17,23-00,19686
10/02/17,00-01,18920
10/02/17,01-02,18579
10/02/17,02-03,18385
10/02/17,03-04,18355
10/02/17,04-05,18482
10/02/17,05-06,18911
10/02/17,06-07,20329
10/02/17,07-08,22066
10/02/17,08-09,22351
10/02/17,09-10,22243
10/02/17,10-11,22215
10/02/17,11-12,21976
10/02/17,12-13,21695
10/02/17,13-14,21523
10/02/17,14-15,21456
10/02/17,15-16,21338
10/02/17,16-17,21316
10/02/17,17-18,21575
10/02/17,18-19,21576
10/02/17,19-20,21267
10/02/17,20-21,20778
10/02/17,21-22,20241
10/02/17,22-23,19595
10/02/17,23-00,18991
11/02/17,00-01,18342
11/02/17,01-02,18058
11/02/17,02-03,17901
11/02/17,03-04,17789
11/02/17,04-05,17832
11/02/17,05-06,17953
11/02/17,06-07,18319
11/02/17,07-08,18915
11/02/17,08-09,19585
11/02/17,09-10,20193
11/02/17,10-11,20353
11/02/17,11-12,20164
11/02/17,12-13,19897
11/02/17,13-14,19529
11/02/17,14-15,19319
11/02/17,15-16,19262
11/02/17,16-17,19579
11/02/17,17-18,20404
11/02/17,18-19,20667
11/02/17,19-20,20281
11/02/17,20-21,19802
11/02/17,21-22,19408
11/02/17,22-23,19054
11/02/17,23-00,18620
12/02/17,00-01,18117
12/02/17,01-02,17784
12/02/17,02-03,17626
12/02/17,03-04,17661
12/02/17,04-05,17765
12/02/17,05-06,17898
12/02/17,06-07,18253
12/02/17,07-08,18667
12/02/17,08-09,19016
12/02/17,09-10,19444
12/02/17,10-11,19672
12/02/17,11-12,19502
12/02/17,12-13,19337
12/02/17,13-14,18982
12/02/17,14-15,18802
12/02/17,15-16,18824
12/02/17,16-17,19198
12/02/17,17-18,19678
12/02/17,18-19,19871
12/02/17,19-20,19768
12/02/17,20-21,19639
12/02/17,21-22,19481
12/02/17,22-23,18970
12/02/17,23-00,18227
13/02/17,00-01,17683
13/02/17,01-02,17409
13/02/17,02-03,17343
13/02/17,03-04,17369
13/02/17,04-05,17531
13/02/17,05-06,18072
13/02/17,06-07,19625
13/02/17,07-08,21504
13/02/17,08-09,21818
13/02/17,09-10,21637
13/02/17,10-11,21078
13/02/17,11-12,20793
13/02/17,12-13,20302
13/02/17,13-14,20205
13/02/17,14-15,19959
13/02/17,15-16,19840
13/02/17,16-17,20021
13/02/17,17-18,20420
13/02/17,18-19,20500
13/02/17,19-20,20439
13/02/17,20-21,20137
13/02/17,21-22,19775
13/02/17,22-23,19173
13/02/17,23-00,18402
14/02/17,00-01,17751
14/02/17,01-02,17366
14/02/17,02-03,17287
14/02/17,03-04,17373
14/02/17,04-05,17583
14/02/17,05-06,18147
14/02/17,06-07,19929
14/02/17,07-08,21423
14/02/17,08-09,21771
14/02/17,09-10,21566
14/02/17,10-11,21049
14/02/17,11-12,20364
14/02/17,12-13,19957
14/02/17,13-14,19811
14/02/17,14-15,19580
14/02/17,15-16,19560
14/02/17,16-17,19622
14/02/17,17-18,20040
14/02/17,18-19,20396
